utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-02 00:00:00+00:00,254.2,-0.0433,-0.0079,0.0039,0.0,0.001,0.0118,0.0334,0.0,0.0,0.0393,0.0039,0.0,0.0039,0.0669,0.3336,0.0354,0.0256,0.0,0.0433,0.0079,0.0637,0.0,0.0,0.0
2019-01-03 00:00:00+00:00,4211.2,-0.218,-0.0178,0.0045,0.0028,0.0015,0.0014,-0.003,0.0165,0.0285,0.0501,0.0096,0.0024,0.004,0.008,0.2544,0.0153,-0.0006,-0.0012,-0.1007,-0.0062,0.0353,0.0,0.0,-0.0069
2019-01-04 00:00:00+00:00,7104.5,-0.1319,0.0106,0.0023,-0.0005,0.0048,0.002,-0.0044,0.0063,0.0327,0.0512,0.0252,0.0046,0.007,0.0046,0.2685,0.025,-0.0015,-0.0006,-0.0557,0.0056,0.047,0.0001,0.0,0.0081
2019-01-05 00:00:00+00:00,2244.0,-0.0152,0.0111,0.0027,0.0013,-0.001,0.0013,0.0053,0.0022,0.0281,0.0584,0.0209,0.0007,-0.0007,0.0123,0.2377,0.0662,0.0011,0.0007,0.0515,0.0036,0.0472,0.0,0.0,0.0049
2019-01-06 00:00:00+00:00,200.4,0.1397,0.015,0.015,0.015,0.0,0.005,0.005,0.005,0.0,0.0399,0.005,0.0,0.01,0.025,0.2994,0.0846,0.0,0.0,0.1173,-0.0,0.005,0.0,0.0,0.0
2019-01-07 00:00:00+00:00,825.4,0.0757,0.0254,0.0048,0.0012,0.0176,0.0012,0.0012,0.0024,0.0291,0.0236,0.0121,-0.0006,-0.0042,0.0164,0.1708,0.0726,0.0194,0.0,0.0781,0.0085,0.0388,0.0,0.0,0.0206
2019-01-08 00:00:00+00:00,3111.8,0.1189,0.0382,0.0103,0.001,0.0054,0.0022,-0.0127,0.0014,0.0162,0.045,0.0127,0.0016,0.0101,0.026,0.2443,0.0757,0.0077,0.0022,0.1244,0.0135,0.0234,0.0013,0.0,0.0101
2019-01-09 00:00:00+00:00,1959.1,0.0567,0.0454,0.0026,0.0005,0.0024,0.0026,0.0271,0.0033,0.0176,0.0419,0.0189,0.0087,0.0265,0.0174,0.3515,0.048,0.0123,0.002,0.0105,0.0117,0.0377,0.0,0.0,0.0051
2019-01-10 00:00:00+00:00,2467.2,0.0602,0.0152,0.0116,0.0008,0.0007,0.0012,0.0118,0.0018,0.0164,0.0436,0.0168,0.0,-0.0041,0.0393,0.2093,0.0559,0.0041,0.0016,0.0673,0.0073,0.0245,0.0,0.0,0.0178
2019-01-11 00:00:00+00:00,1571.8,0.0328,0.0356,0.0076,0.0013,-0.0027,0.0045,0.008,0.0051,0.0156,0.0499,0.0153,0.0045,0.0003,0.0194,0.281,0.0496,0.0111,0.0006,0.0573,0.02,0.0174,0.0,0.0,0.0016
2019-01-12 00:00:00+00:00,1263.9,-0.0036,-0.0119,0.0032,0.0,0.0061,0.0008,0.0016,0.0016,0.0316,0.055,0.0174,0.0008,-0.004,0.0356,0.2434,0.0326,0.0071,0.0008,0.0609,-0.0051,0.0292,0.0,0.0,0.0032
2019-01-13 00:00:00+00:00,288.0,0.1146,-0.0243,0.0,0.0,0.0,0.0017,0.0035,0.0,0.0451,0.0521,0.0069,0.0104,0.0208,0.0069,0.2135,0.1476,0.0069,0.0,0.1545,-0.0069,0.0139,0.0,0.0,0.0104
2019-01-14 00:00:00+00:00,393.3,0.1271,0.0483,0.0165,0.0,0.0076,0.0051,-0.0051,0.0025,0.0076,0.0331,0.0102,0.0013,0.0165,0.0229,0.225,0.0952,0.0305,0.0076,0.0915,0.0305,0.0153,0.0,0.0,0.0216
2019-01-15 00:00:00+00:00,2213.4,-0.1529,-0.0158,0.0018,0.0009,0.0001,0.0011,0.0014,0.0011,0.0285,0.0644,0.0059,0.0018,-0.0009,0.0407,0.2418,-0.0062,0.0005,-0.0005,-0.0759,-0.0027,0.0252,0.0,0.0,-0.005
2019-01-16 00:00:00+00:00,1480.6,-0.0334,-0.003,0.0095,0.002,0.0032,0.0,-0.0007,0.0014,0.0162,0.0321,0.0135,0.0027,0.0027,0.0209,0.168,0.0543,0.0101,-0.0007,0.0655,-0.0142,0.0309,0.0,0.0,0.0101
2019-01-17 00:00:00+00:00,1763.9,-0.15,-0.0232,0.0051,0.0028,0.0006,0.0011,0.0215,0.0051,0.0408,0.0694,0.0139,0.0,-0.0,0.0133,0.3238,0.0048,0.0014,-0.0017,-0.0641,-0.0045,0.0198,0.0,0.0,-0.0017
2019-01-18 00:00:00+00:00,2008.2,-0.1275,0.0162,0.002,0.0015,0.0022,0.0002,0.005,0.0144,0.012,0.0545,0.0154,0.0015,0.0025,0.0194,0.2237,0.0167,0.0102,-0.0,-0.0428,0.0015,0.0275,0.0,0.0,-0.0035
2019-01-19 00:00:00+00:00,814.3,0.0264,-0.0074,0.0123,0.0025,0.0025,0.0,-0.0055,0.0012,0.0129,0.0356,0.0356,0.0,-0.0092,0.0184,0.1765,0.0442,0.0147,-0.0012,0.054,0.0074,0.0409,0.0,0.0,0.0147
2019-01-20 00:00:00+00:00,231.0,-0.0433,0.0411,0.0065,0.0043,-0.0011,0.013,0.0108,0.0043,0.026,0.0649,0.013,0.0,-0.0065,0.0476,0.355,0.0162,0.0043,0.0043,-0.0,0.0,0.0325,0.0,0.0,0.0043
2019-01-21 00:00:00+00:00,397.0,0.0554,0.0378,0.029,0.0076,0.0076,0.0,-0.0151,0.0101,0.0176,0.0252,0.0,0.0,-0.0038,0.034,0.3481,0.0139,0.0277,0.0,0.0202,0.0113,0.0348,0.0,0.0,-0.0076
2019-01-22 00:00:00+00:00,2913.9,-0.0755,-0.0573,0.0029,0.0027,0.0018,0.0051,-0.0263,0.0043,0.0331,0.0556,0.0093,0.0003,-0.0237,0.0326,0.3079,-0.016,0.005,0.0019,-0.0275,-0.0103,0.0313,0.0,0.0,0.0026
2019-01-23 00:00:00+00:00,2456.4,-0.1018,-0.033,0.0033,0.0024,0.0004,0.0069,-0.009,0.0372,0.0116,0.0474,0.0126,0.0,-0.0016,0.0248,0.2848,-0.0176,0.002,-0.0004,-0.0462,-0.0134,0.0128,0.0,0.0,-0.009
2019-01-24 00:00:00+00:00,1735.4,-0.0977,0.0017,0.0046,0.0012,0.0032,0.0086,-0.0006,0.0112,0.0216,0.0588,0.0147,0.0052,-0.0029,0.0256,0.2553,0.0173,0.004,0.0012,-0.0156,0.0101,0.0334,0.0,0.0,0.002
2019-01-25 00:00:00+00:00,3575.4,-0.1198,-0.0309,0.0028,-0.002,0.0031,0.0031,0.0042,0.0036,0.0457,0.0498,0.0133,0.0021,0.0032,0.014,0.2194,0.0238,-0.0024,-0.0008,-0.0243,-0.0137,0.0284,0.0,0.0,0.0024
2019-01-26 00:00:00+00:00,1487.1,-0.0017,-0.0034,0.0027,0.0007,0.0024,0.0013,0.0081,0.0047,0.0175,0.0447,0.0094,0.0,-0.0027,0.0168,0.1883,0.0577,-0.001,0.0017,0.0363,0.003,0.0256,0.0,0.0,0.0141
2019-01-27 00:00:00+00:00,331.0,0.0257,0.0559,0.003,-0.006,-0.0128,0.0091,0.003,0.003,0.006,0.0363,0.0181,0.0,0.0091,0.0151,0.287,0.0687,-0.0076,0.0,0.0801,0.0151,0.0302,0.0,0.0,0.006
2019-01-28 00:00:00+00:00,392.8,-0.0013,-0.0127,0.0,-0.0051,-0.007,0.0102,0.0013,0.0127,0.0051,0.0738,0.0127,0.0102,0.0076,0.0204,0.4076,0.0101,-0.0,-0.0025,0.0255,0.0025,0.029,0.0,0.0,0.0153
2019-01-29 00:00:00+00:00,2741.5,0.2147,-0.0142,0.0007,-0.0015,0.0026,0.0058,0.0108,0.0007,0.0166,0.0317,0.0137,0.0038,0.0011,0.0146,0.3037,0.064,0.0004,-0.0,0.1222,0.0036,0.0177,0.0,0.0,0.0071
2019-01-30 00:00:00+00:00,1725.0,-0.1461,-0.009,0.0023,0.0006,0.0017,0.0052,0.0032,0.0029,0.0319,0.0499,0.0145,0.0023,0.0014,0.0174,0.2638,0.0148,0.0093,0.0003,-0.0377,0.0003,0.0336,0.0,0.0,0.0017
2019-01-31 00:00:00+00:00,2964.4,0.1287,0.029,0.0071,0.0003,0.0026,0.0022,0.0078,0.0017,0.0083,0.0236,0.0125,0.0044,0.0047,0.0226,0.1562,0.0866,0.011,0.0025,0.1425,0.0194,0.0224,0.0,0.0,0.015
2019-02-01 00:00:00+00:00,1867.9,0.1245,0.0217,0.0107,-0.0,0.0019,0.0043,0.0005,0.0059,0.0137,0.0311,0.0203,0.0008,0.0011,0.0268,0.142,0.0819,0.0219,0.0054,0.1456,0.0214,0.0315,0.0,0.0005,0.0209
2019-02-02 00:00:00+00:00,2320.8,-0.1661,-0.0106,0.0017,0.0004,0.0006,0.0013,-0.0002,0.006,0.0836,0.0668,0.0052,0.0026,-0.0069,0.0129,0.3526,0.0057,0.005,0.0004,-0.0534,-0.0004,0.0337,0.0,0.0,-0.0082
2019-02-03 00:00:00+00:00,288.7,-0.0623,0.0225,0.0069,0.0087,-0.0026,0.0017,-0.0017,0.0104,0.0346,0.0502,0.0398,-0.0017,-0.0225,0.0173,0.2719,0.0419,-0.0052,0.0069,0.0225,0.0156,0.0364,0.0,0.0,-0.0017
2019-02-04 00:00:00+00:00,672.4,-0.0216,-0.0178,0.0074,0.0,0.0033,0.0015,-0.0119,0.003,0.0305,0.0402,0.0126,0.0,-0.0245,0.0134,0.1905,0.0346,0.0059,0.003,0.0372,0.0037,0.0303,0.0,0.0,0.0141
2019-02-05 00:00:00+00:00,2588.3,-0.1858,-0.0334,0.0054,-0.0012,0.0001,0.0046,-0.0243,0.0019,0.0328,0.0377,0.0085,0.0021,-0.028,0.0079,0.2151,0.0055,-0.0027,-0.0019,-0.0782,0.0091,0.0303,0.0,0.0,0.0033
2019-02-06 00:00:00+00:00,4419.6,0.0083,0.011,0.0046,-0.0006,0.0048,0.0024,0.0031,0.0014,0.0227,0.0403,0.0167,0.0003,-0.012,0.0109,0.1745,0.0475,0.0037,-0.0006,0.0463,0.0053,0.0367,0.0,0.0,0.0085
2019-02-07 00:00:00+00:00,9642.4,-0.2345,-0.0467,0.0012,-0.0001,-0.0,0.0012,-0.0085,0.0018,0.0298,0.0336,0.0066,0.0028,0.0011,0.0082,0.176,-0.0108,-0.0016,-0.0007,-0.1088,-0.0157,0.0545,0.0,0.0,-0.0056
2019-02-08 00:00:00+00:00,3934.8,-0.1464,-0.0203,0.002,0.002,-0.0035,0.0025,-0.0046,0.0038,0.0205,0.0442,0.0088,0.0043,-0.0081,0.0252,0.2309,0.0264,-0.0008,-0.0009,-0.026,-0.005,0.0439,0.0,0.0,0.0052
