utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-02 00:00:00+00:00,225.0,4.0,26.0,-0.2356,-0.0156,0.0156,0.0089,0.1378,0.0267,0.04,-0.0278,-0.0222,0.0,0.0133,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4231,0.0,0.0,0.0
2019-01-03 00:00:00+00:00,762.7,294.0,45.0,-0.3724,0.0249,0.001,0.0275,0.0531,0.0,0.0157,0.0089,-0.0623,0.0,0.0312,-0.0374,0.0102,0.0,0.0,0.0187,0.0102,0.0102,-0.0017,0.1259,0.0,0.085,0.4,0.2444,0.2889,0.0667,0.0222
2019-01-04 00:00:00+00:00,717.0,258.0,33.0,0.196,-0.0056,0.0188,0.0042,0.0446,0.0014,0.0056,0.0185,0.0404,-0.007,0.0321,0.0543,0.0233,0.0048,0.0155,0.0271,0.0,-0.0019,-0.0078,0.0116,0.0039,0.0911,0.4848,0.4242,0.0909,0.0,0.0
2019-01-05 00:00:00+00:00,501.7,218.0,42.5,-0.4754,-0.009,0.001,0.002,0.0468,0.0,0.009,0.007,-0.0668,-0.013,0.0682,0.1009,0.2064,0.0011,0.0275,0.0459,0.0,0.0,0.0367,0.078,0.0,0.0092,0.6235,0.0706,0.2353,0.0,0.0
2019-01-06 00:00:00+00:00,107.0,16.5,24.0,-0.028,0.1028,0.0234,0.0,0.0467,0.0093,0.0,0.028,0.0374,0.0187,0.0093,-0.4242,0.0,0.0,0.0,0.303,0.0,0.0909,0.0,0.0606,0.0,0.0606,0.5,0.4583,0.0,0.0,0.0417
2019-01-07 00:00:00+00:00,137.4,73.5,31.0,-0.1346,-0.0437,0.0109,0.0073,0.0546,0.0073,0.0509,0.0255,0.0291,0.0,0.032,-0.1837,0.0136,0.0,0.0,0.0136,0.0,0.0272,0.0,0.0136,0.0136,0.0,0.5323,0.2258,0.1613,0.0,0.0161
2019-01-08 00:00:00+00:00,683.2,455.0,35.0,0.1947,0.0015,0.0099,0.0029,0.03,0.0044,0.0015,0.0285,0.0673,0.0088,0.0231,-0.2209,0.0264,0.003,0.0132,0.0505,0.011,0.0308,0.0,-0.0066,0.0,0.0,0.3429,0.2286,0.0857,0.0,0.1714
2019-01-09 00:00:00+00:00,431.0,100.5,51.0,0.0162,-0.0139,0.0041,0.007,0.0418,0.0116,0.0139,0.0464,0.0708,0.0035,0.0232,0.1542,-0.0597,-0.0025,0.0,0.0697,0.0,0.0398,0.0,0.01,0.01,0.0199,0.1961,0.1765,0.1961,0.0,0.0
2019-01-10 00:00:00+00:00,507.9,286.4,89.5,0.2451,0.0266,0.0271,-0.0,0.0187,0.0,0.0079,0.0861,0.0906,0.0,0.0343,0.0838,-0.0559,-0.007,0.014,0.0838,0.0,0.2304,0.0,0.0489,0.0489,0.0119,0.3743,0.3855,-0.0056,-0.0112,0.0
2019-01-11 00:00:00+00:00,444.2,106.0,79.0,0.0304,0.0259,0.0146,-0.0034,0.0293,0.0023,0.0068,0.0486,0.0518,-0.0,0.027,0.0377,-0.0094,-0.0094,0.0566,0.1321,0.0,0.0377,0.0,0.0189,-0.0189,0.0189,0.2089,0.3861,0.0506,0.0,0.0253
