utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-02 00:00:00+00:00,87.0,0.0115,0.0575,0.0,0.0,0.0029,0.0,0.0,0.0,0.0805,0.092,0.0575,0.0115,0.0345,0.0115,0.1954,0.0632,-0.0,-0.0115,0.0345,0.046,0.1034,0.0,0.0,-0.0115
2019-01-03 00:00:00+00:00,1142.0,0.1703,-0.0096,0.0026,0.0035,0.044,-0.0004,-0.0022,0.0004,0.0057,0.028,0.0026,0.0,0.0004,0.0079,0.3198,0.0202,-0.0009,0.0,0.014,-0.0004,0.0081,0.0,0.0,0.0088
2019-01-04 00:00:00+00:00,885.5,0.0751,0.0407,0.009,0.0011,0.0007,0.0034,-0.0079,-0.0006,0.0124,0.0248,0.009,0.0034,0.0158,0.0102,0.3525,0.0838,-0.0,-0.0,0.0548,0.0181,0.0202,0.0,0.0,0.0068
2019-01-05 00:00:00+00:00,980.0,-0.0056,-0.001,0.0056,0.0,-0.0033,0.0,0.0015,0.0,0.0163,0.0352,0.0122,0.0,0.002,0.0056,0.0357,0.1204,0.0082,0.0041,0.1893,0.0296,0.0133,0.0,0.0,0.048
2019-01-06 00:00:00+00:00,89.5,0.0503,-0.0056,0.0,0.0,-0.0084,0.0,0.0,0.0,0.0335,0.0335,0.0223,0.0,0.0,0.0,0.2402,0.0084,0.0,0.0,-0.067,0.0,0.0056,0.0,0.0,0.0223
2019-01-07 00:00:00+00:00,214.0,-0.1799,0.0047,0.0047,0.0,-0.0023,0.0,0.0187,0.0047,0.0794,0.1121,0.0047,0.0093,0.014,0.028,0.5187,0.0234,0.0,0.0,-0.0397,0.0047,0.0234,0.0,0.0,0.014
2019-01-08 00:00:00+00:00,780.2,0.1705,-0.009,0.0026,0.0038,-0.0077,0.0,0.0147,-0.0006,0.0256,0.0461,0.0385,0.0038,0.0032,0.0167,0.2314,0.0754,-0.0038,-0.0,0.1557,0.0038,0.0295,0.0,0.0,0.0128
2019-01-09 00:00:00+00:00,922.3,0.1946,-0.0103,0.0054,-0.0,0.0005,0.0022,-0.0076,0.0011,0.0108,0.026,0.0033,0.0011,-0.013,0.0168,0.2576,0.0908,0.0092,0.0011,0.1388,0.0005,0.0183,0.0,0.0,0.0087
2019-01-10 00:00:00+00:00,1913.4,0.1241,0.0128,0.0055,0.0013,0.0019,0.0031,-0.0105,0.0052,0.0152,0.0334,0.0047,0.0029,0.0026,0.0267,0.2034,0.092,0.0008,0.0003,0.1573,0.0118,0.0171,0.0,0.0,0.0384
2019-01-11 00:00:00+00:00,1296.3,0.0093,0.012,0.0069,0.0046,-0.0008,0.0008,-0.0166,-0.0004,0.0093,0.0698,0.0054,0.0,-0.0278,0.015,0.3341,0.0308,-0.0015,0.0,0.0339,0.0031,0.0165,0.0,0.0,0.012
2019-01-12 00:00:00+00:00,515.0,-0.0466,-0.0068,0.0019,0.0039,0.0015,0.0019,0.0039,0.0,0.0078,0.032,0.0029,0.0,0.0058,0.0058,0.0417,0.0738,0.0019,0.0,0.0699,-0.0,0.0117,0.0,0.0,0.066
2019-01-13 00:00:00+00:00,172.5,0.2,0.0406,0.0,-0.0116,0.0051,0.0116,-0.058,0.0,0.0,0.0174,0.0348,0.0,0.0,0.0116,0.258,0.0174,0.0348,0.0,-0.029,0.0,0.029,0.0,0.0,0.0
2019-01-14 00:00:00+00:00,274.5,-0.0437,0.0638,0.0073,0.0,-0.0068,0.0073,0.0018,0.0,0.0364,0.0856,0.0291,0.0,-0.0182,0.0383,0.2914,0.0528,0.0036,0.0036,0.0528,-0.0,0.0437,0.0,0.0,0.0237
2019-01-15 00:00:00+00:00,648.9,-0.0123,0.017,0.0015,0.0108,0.0004,0.0,-0.0277,0.0054,0.0031,0.0254,0.0,0.0008,-0.0177,0.0193,0.2614,0.0393,0.0092,-0.0031,-0.027,-0.0039,0.0099,0.0,0.0,0.0031
2019-01-16 00:00:00+00:00,522.4,0.133,0.0134,0.0019,-0.001,0.001,0.0038,-0.022,0.0029,0.0115,0.067,0.0096,0.0019,0.0086,0.0345,0.2753,0.0772,-0.0287,-0.0019,0.0833,0.0038,0.01,0.0,0.0,0.0077
2019-01-17 00:00:00+00:00,654.2,-0.0176,-0.0015,0.0,0.0046,-0.0073,0.0076,-0.0008,0.0092,0.0092,0.0657,0.0214,0.0015,-0.0168,0.0275,0.2466,0.0516,-0.0107,0.0015,0.1009,0.0061,0.0164,0.0,0.0,0.0061
2019-01-18 00:00:00+00:00,760.1,-0.1941,-0.0033,0.0066,0.0039,-0.014,0.0026,0.0184,0.0,0.0132,0.0191,0.0342,0.0026,0.0118,0.0487,0.3603,0.046,-0.0066,0.0013,0.0316,0.0158,0.0139,0.0,0.0,0.0092
2019-01-19 00:00:00+00:00,905.4,0.0188,-0.0359,0.0144,0.0066,0.0017,-0.0006,-0.0088,0.0,0.0133,0.0541,0.042,0.0121,0.0061,0.0271,0.303,0.037,-0.0055,0.0,0.0812,-0.0061,0.0311,0.0,0.0,0.011
2019-01-20 00:00:00+00:00,89.5,-0.1844,0.0335,0.0112,0.0,0.014,0.0,0.0559,0.0,0.0335,0.0447,0.067,0.0,0.0223,0.0,0.2179,0.0503,0.0,0.0,-0.0447,0.0,0.0447,0.0,0.0,0.0
2019-01-21 00:00:00+00:00,270.7,-0.1533,-0.0148,0.0074,-0.0037,0.0046,0.0037,0.0222,0.0074,0.048,0.096,0.0148,0.0,0.0203,0.0554,0.3779,0.0111,0.0111,0.0,-0.0129,-0.0037,0.0081,0.0,0.0,-0.0332
2019-01-22 00:00:00+00:00,723.0,-0.0726,0.0041,0.0028,0.0055,-0.0003,0.0041,-0.0014,0.0221,0.0055,0.0297,0.0152,0.0,-0.0097,0.0069,0.1895,0.036,-0.0014,0.0,-0.0028,-0.0,0.0069,0.0,0.0,0.0332
2019-01-23 00:00:00+00:00,1830.6,0.1977,0.0847,0.0661,0.0038,-0.0001,0.0022,-0.0645,0.0016,0.0027,0.0216,0.0055,0.0093,0.0606,0.012,0.4591,0.0713,-0.0016,-0.0044,0.0396,0.0115,0.0255,0.0,0.0,0.0044
2019-01-24 00:00:00+00:00,634.4,0.0142,-0.0055,0.0032,0.0032,0.0059,0.0055,-0.0386,0.0032,0.0189,0.0497,0.0079,0.0126,0.0032,0.0205,0.2153,0.0729,0.0016,-0.0016,0.1151,-0.0,0.0322,0.0,0.0,0.0047
2019-01-25 00:00:00+00:00,387.5,-0.1226,-0.0065,0.0181,0.0,-0.0026,0.0232,0.0387,0.0026,0.0052,0.0426,0.0077,0.0026,0.0361,0.0232,0.2529,0.0458,-0.0052,0.0,0.04,0.0348,0.031,0.0,0.0,0.0026
2019-01-26 00:00:00+00:00,673.2,0.13,-0.0045,0.0104,0.0074,0.0028,0.0,-0.0074,0.0089,0.0535,0.0408,0.0119,0.0059,0.0141,0.0104,0.3287,0.0501,-0.0074,0.0,0.0824,-0.0045,0.0122,0.0,0.0,0.0119
2019-01-27 00:00:00+00:00,640.2,0.0711,0.0016,0.0078,0.0109,0.0051,0.0062,-0.0211,0.0016,0.0031,0.0586,0.0125,0.0031,0.0141,0.0203,0.2851,0.0271,0.0062,0.0094,0.0656,0.0125,0.0133,0.0,0.0,-0.0031
2019-01-28 00:00:00+00:00,263.0,-0.154,-0.0019,0.0,-0.0114,-0.0471,0.0456,0.0095,0.0,0.0209,0.0418,0.0076,0.0038,0.0152,0.0,0.289,0.0143,-0.0076,0.0,0.0019,0.0,0.0152,0.0,0.0,0.0
