utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-02 00:00:00+00:00,143.9,23.5,22.0,0.212,-0.0208,0.0009,0.0,0.1112,0.0,0.0069,0.066,0.0695,0.0,0.0063,0.1702,0.1277,0.0,0.0,0.2128,0.0,0.0851,0.0,0.0,0.0,-0.0213,0.1818,0.2727,0.3636,0.0,0.0
2019-01-03 00:00:00+00:00,482.9,178.5,41.0,-0.0487,0.0155,0.0041,0.0155,0.0404,0.0104,0.0145,0.0114,-0.0104,0.0,0.0153,-0.0952,0.0644,-0.0112,0.0,0.112,0.0,0.0448,0.0,0.1485,0.0,0.1345,0.3659,0.1951,0.1463,0.0244,-0.0976
2019-01-04 00:00:00+00:00,642.4,225.5,58.5,-0.07,0.0358,0.0018,0.0039,0.0615,-0.0016,0.0218,0.0107,-0.0545,0.0016,0.0448,-0.2483,0.0089,-0.0233,0.0266,0.0976,0.0,0.031,0.0,-0.02,0.0,0.1064,0.3162,0.4444,0.1709,-0.0342,0.0
2019-01-05 00:00:00+00:00,260.8,284.0,81.0,-0.0613,0.069,0.001,0.0115,0.0268,0.0,0.0192,0.0403,0.2301,0.0077,0.0261,-0.3908,-0.0493,-0.0106,0.0,0.1197,0.0,0.0,0.0634,-0.1796,0.0,0.0775,0.5679,0.037,0.3827,0.037,0.0
2019-01-06 00:00:00+00:00,64.8,67.0,25.0,0.2006,0.0386,0.0039,0.0154,0.0309,0.0,0.0154,0.1273,0.0154,-0.0077,0.0741,-0.209,-0.0821,-0.0112,0.0,0.0597,0.0,0.0299,0.0448,0.0,0.0,0.0299,0.16,0.84,0.0,0.0,0.0
2019-01-07 00:00:00+00:00,84.9,31.5,15.0,0.0118,0.0824,0.0147,0.0,0.0589,0.0,0.0707,0.0053,0.0236,0.0,0.0471,-0.2063,0.0317,0.0079,0.0,0.0635,0.0,0.0635,0.0,0.0317,0.0317,0.0635,0.3333,0.2,-0.1333,0.0,0.0667
2019-01-08 00:00:00+00:00,415.3,436.0,126.0,0.0626,-0.0313,0.0096,0.0289,0.0518,-0.0024,0.0144,-0.0152,0.0253,0.0096,0.0181,-0.0585,0.0631,-0.0029,0.0046,0.1055,0.0023,0.0229,0.0596,0.0046,0.0,0.0562,0.2937,0.6429,-0.0079,0.0,-0.0079
2019-01-09 00:00:00+00:00,465.8,248.0,235.0,0.2576,0.0537,0.0032,0.0054,0.0301,0.0043,0.058,0.0464,0.131,0.0107,0.0206,-0.0565,-0.0,-0.003,0.0161,0.0968,0.004,0.0081,0.0081,-0.0726,0.0121,0.0645,0.4447,0.4702,0.034,0.0213,-0.0085
2019-01-10 00:00:00+00:00,571.8,312.9,402.5,0.1487,0.0184,0.0013,0.0219,0.0455,0.0052,0.0656,0.0512,0.1137,0.0017,0.028,-0.195,-0.016,-0.004,0.0,0.0799,-0.0032,0.016,0.0032,-0.0224,0.0,0.0764,0.5652,0.1602,0.1043,0.0584,0.0012
2019-01-11 00:00:00+00:00,665.5,269.0,114.0,0.024,0.0413,0.0056,0.0135,0.0316,0.003,0.0383,0.0177,0.0398,0.003,0.0203,0.1022,0.0037,0.0009,0.0,0.0799,0.0,0.0223,0.0,0.1636,0.0,0.0781,0.5746,0.2719,0.0307,0.0088,0.0
