utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-02 00:00:00+00:00,0.0,8.0,6.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.1667
2019-01-03 00:00:00+00:00,7.0,4.5,7.0,0.2857,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,0.2857,0.0,0.1429,0.5556,0.0,0.0,0.0,-0.1111,0.0,0.0,0.0,0.0,0.0,-0.1111,0.5714,0.1429,0.0,0.0,0.0
2019-01-04 00:00:00+00:00,52.0,6.0,14.0,-0.0192,0.0,-0.0192,0.0,0.0192,0.0,0.0,-0.0096,0.3654,0.0,0.0,-0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-01-05 00:00:00+00:00,82.5,7.0,7.5,0.3212,0.0485,0.0,0.0,0.0242,0.0,0.0,0.1061,0.3333,0.0,0.0,-0.7143,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.0,0.6,0.1333,0.0,0.0,0.1333
2019-01-06 00:00:00+00:00,2.0,4.5,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,-0.1111,0.0,0.0,0.0,0.0,0.0,-0.1111,1.0,0.0,0.0,0.0,0.0
2019-01-07 00:00:00+00:00,0.0,13.5,2.0,,,,,,,,,,,,0.3333,0.0741,0.0,0.0,-0.1111,0.0,-0.0741,0.0,0.0,0.0,-0.037,0.0,1.0,0.0,0.0,0.0
2019-01-08 00:00:00+00:00,60.5,40.5,22.5,-0.3388,0.0,0.0,0.0165,0.0826,0.0,0.0,0.0083,-0.0496,0.0,0.0,0.2099,0.2222,0.0,0.0,-0.0494,0.0,-0.037,0.0,-0.0988,0.0,-0.0123,0.9111,0.0889,0.0,0.0,0.0
2019-01-09 00:00:00+00:00,91.0,28.0,17.0,0.1978,0.0659,0.0275,0.0,0.0,0.0,0.1319,-0.0275,0.2747,0.0,-0.033,0.1429,0.0714,0.0,0.0,-0.0357,0.0,-0.0357,0.0,0.2857,0.0,0.0,0.6471,0.0,0.0,0.0,0.0
2019-01-10 00:00:00+00:00,106.5,34.0,80.0,0.0141,0.0,0.0,0.0094,0.0094,0.0,0.0,0.0446,0.216,0.0,0.0094,-0.0882,0.0,0.0368,0.0,0.1471,0.0,0.0882,0.0,0.1176,0.0,0.0882,0.9375,0.0625,0.0,0.0,0.0
2019-01-11 00:00:00+00:00,80.2,18.0,35.5,-0.0312,0.0187,0.0,0.0125,0.0,0.0,0.0,-0.0455,0.1185,0.0,0.0998,-0.2778,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.831,0.0845,0.0,0.0,0.0
