utc_datetime,bid_open,bid_high,bid_low,bid_close
2016-12-25 22:00:00+00:00,122.664,122.7435,122.631,122.631
2016-12-25 23:00:00+00:00,122.635,122.6785,122.4935,122.533
2016-12-26 00:00:00+00:00,122.546,122.704,122.546,122.627
2016-12-26 01:00:00+00:00,122.629,122.6435,122.299,122.3945
2016-12-26 02:00:00+00:00,122.381,122.4495,122.3235,122.42
2016-12-26 03:00:00+00:00,122.407,122.4555,122.4065,122.4145
2016-12-26 04:00:00+00:00,122.414,122.473,122.3635,122.4525
2016-12-26 05:00:00+00:00,122.4515,122.606,122.409,122.5875
2016-12-26 06:00:00+00:00,122.5615,122.578,122.4135,122.4755
2016-12-26 07:00:00+00:00,122.537,122.599,122.4285,122.584
2016-12-26 08:00:00+00:00,122.582,122.604,122.5115,122.519
2016-12-26 09:00:00+00:00,122.524,122.5285,122.329,122.329
2016-12-26 10:00:00+00:00,122.3245,122.373,122.1925,122.2955
2016-12-26 11:00:00+00:00,122.301,122.301,122.2365,122.2435
2016-12-26 12:00:00+00:00,122.251,122.399,122.2485,122.3895
2016-12-26 13:00:00+00:00,122.3845,122.391,122.241,122.273
2016-12-26 14:00:00+00:00,122.2725,122.377,122.2725,122.372
2016-12-26 15:00:00+00:00,122.372,122.461,122.351,122.456
2016-12-26 16:00:00+00:00,122.4565,122.463,122.3015,122.3035
2016-12-26 17:00:00+00:00,122.296,122.3455,122.2955,122.329
2016-12-26 18:00:00+00:00,122.32,122.407,122.3085,122.403
2016-12-26 19:00:00+00:00,122.4195,122.4655,122.419,122.458
2016-12-26 20:00:00+00:00,122.458,122.458,122.3885,122.445
2016-12-26 21:00:00+00:00,122.4425,122.447,122.4025,122.4025
2016-12-26 22:00:00+00:00,122.403,122.441,122.3985,122.4255
2016-12-26 23:00:00+00:00,122.47,122.5225,122.421,122.426
2016-12-27 00:00:00+00:00,122.4455,122.5405,122.4455,122.507
2016-12-27 01:00:00+00:00,122.5015,122.643,122.4895,122.643
2016-12-27 02:00:00+00:00,122.6455,122.6455,122.4955,122.535
2016-12-27 03:00:00+00:00,122.4985,122.504,122.4505,122.4505
2016-12-27 04:00:00+00:00,122.4445,122.514,122.4445,122.51
2016-12-27 05:00:00+00:00,122.5225,122.551,122.4885,122.513
2016-12-27 06:00:00+00:00,122.507,122.5375,122.482,122.5225
2016-12-27 07:00:00+00:00,122.5265,122.5535,122.473,122.5465
2016-12-27 08:00:00+00:00,122.538,122.5865,122.483,122.5325
2016-12-27 09:00:00+00:00,122.5115,122.5865,122.4485,122.5305
2016-12-27 10:00:00+00:00,122.5235,122.5595,122.51,122.529
2016-12-27 11:00:00+00:00,122.5335,122.6245,122.516,122.57
2016-12-27 12:00:00+00:00,122.5765,122.6285,122.5595,122.5685
2016-12-27 13:00:00+00:00,122.5695,122.5875,122.506,122.569
2016-12-27 14:00:00+00:00,122.5735,122.6145,122.5515,122.599
2016-12-27 15:00:00+00:00,122.595,122.8385,122.593,122.8175
2016-12-27 16:00:00+00:00,122.8195,122.962,122.8025,122.956
2016-12-27 17:00:00+00:00,122.975,122.9815,122.8725,122.8745
2016-12-27 18:00:00+00:00,122.875,122.8865,122.777,122.7865
2016-12-27 19:00:00+00:00,122.7965,122.804,122.7375,122.754
2016-12-27 20:00:00+00:00,122.7545,122.816,122.7545,122.7895
2016-12-27 21:00:00+00:00,122.786,122.81,122.7765,122.7765
2016-12-27 22:00:00+00:00,122.788,122.8235,122.7605,122.789
2016-12-27 23:00:00+00:00,122.8605,122.8605,122.7695,122.8285
2016-12-28 00:00:00+00:00,122.818,122.911,122.818,122.8985
2016-12-28 01:00:00+00:00,122.89,123.0655,122.8015,123.033
2016-12-28 02:00:00+00:00,123.0285,123.1845,123.005,123.1385
2016-12-28 03:00:00+00:00,123.1605,123.2115,123.1365,123.14
2016-12-28 04:00:00+00:00,123.126,123.1545,123.0505,123.1185
2016-12-28 05:00:00+00:00,123.083,123.177,123.069,123.1645
2016-12-28 06:00:00+00:00,123.191,123.201,123.1285,123.146
2016-12-28 07:00:00+00:00,123.1405,123.184,123.052,123.082
2016-12-28 08:00:00+00:00,123.086,123.086,122.963,122.963
2016-12-28 09:00:00+00:00,122.9765,122.9765,122.8015,122.8155
2016-12-28 10:00:00+00:00,122.8085,122.8285,122.6975,122.811
2016-12-28 11:00:00+00:00,122.818,122.9025,122.7655,122.7705
2016-12-28 12:00:00+00:00,122.7575,122.7815,122.5905,122.6385
2016-12-28 13:00:00+00:00,122.668,122.668,122.3515,122.37
2016-12-28 14:00:00+00:00,122.3855,122.405,122.2595,122.405
2016-12-28 15:00:00+00:00,122.4075,122.4115,122.301,122.3015
2016-12-28 16:00:00+00:00,122.2355,122.4215,122.147,122.289
2016-12-28 17:00:00+00:00,122.257,122.305,122.1875,122.232
2016-12-28 18:00:00+00:00,122.235,122.235,122.0395,122.0495
2016-12-28 19:00:00+00:00,122.041,122.0915,121.868,121.869
2016-12-28 20:00:00+00:00,121.869,121.9725,121.8335,121.9655
2016-12-28 21:00:00+00:00,121.96,122.0055,121.9045,121.947
2016-12-28 22:00:00+00:00,121.9615,122.084,121.906,122.073
2016-12-28 23:00:00+00:00,122.0655,122.157,121.721,121.954
2016-12-29 00:00:00+00:00,121.9705,122.0355,121.933,121.9495
2016-12-29 01:00:00+00:00,121.9305,122.013,121.8175,121.9645
2016-12-29 02:00:00+00:00,121.951,121.9625,121.805,121.845
2016-12-29 03:00:00+00:00,121.7985,121.9715,121.785,121.929
2016-12-29 04:00:00+00:00,121.932,121.932,121.835,121.8805
2016-12-29 05:00:00+00:00,121.8905,122.022,121.8255,122.022
2016-12-29 06:00:00+00:00,122.0245,122.137,122.013,122.073
2016-12-29 07:00:00+00:00,122.065,122.0725,121.7,121.717
2016-12-29 08:00:00+00:00,121.7195,121.7325,121.594,121.6355
2016-12-29 09:00:00+00:00,121.617,121.764,121.59,121.6725
2016-12-29 10:00:00+00:00,121.7025,121.894,121.7025,121.792
2016-12-29 11:00:00+00:00,121.793,121.9865,121.793,121.857
2016-12-29 12:00:00+00:00,121.858,121.9355,121.835,121.8735
2016-12-29 13:00:00+00:00,121.8645,122.045,121.8605,121.9935
2016-12-29 14:00:00+00:00,122.0,122.2205,121.9915,122.2065
2016-12-29 15:00:00+00:00,122.218,122.232,121.991,122.039
2016-12-29 16:00:00+00:00,122.041,122.1365,121.982,122.1365
2016-12-29 17:00:00+00:00,122.08,122.1865,121.947,121.9935
2016-12-29 18:00:00+00:00,121.971,122.0705,121.971,121.988
2016-12-29 19:00:00+00:00,122.0005,122.1135,121.9175,122.1135
2016-12-29 20:00:00+00:00,122.116,122.3585,122.116,122.288
2016-12-29 21:00:00+00:00,122.2835,122.306,122.236,122.244
2016-12-29 22:00:00+00:00,122.252,122.3615,122.2245,122.255
2016-12-29 23:00:00+00:00,122.228,122.328,122.2195,122.293
2016-12-30 00:00:00+00:00,122.293,123.7455,122.207,122.9485
2016-12-30 01:00:00+00:00,122.9005,123.024,122.6105,122.6535
2016-12-30 02:00:00+00:00,122.648,122.8225,122.5725,122.6385
2016-12-30 03:00:00+00:00,122.6385,122.7075,122.5965,122.6145
2016-12-30 04:00:00+00:00,122.6315,122.9915,122.6315,122.8905
2016-12-30 05:00:00+00:00,122.8835,122.998,122.8665,122.912
2016-12-30 06:00:00+00:00,122.8965,123.0465,122.8965,122.948
2016-12-30 07:00:00+00:00,122.9435,123.0425,122.826,122.944
2016-12-30 08:00:00+00:00,122.936,123.0595,122.868,123.0475
2016-12-30 09:00:00+00:00,123.0335,123.22,122.95,123.165
2016-12-30 10:00:00+00:00,123.1965,123.676,123.18,123.6605
2016-12-30 11:00:00+00:00,123.734,123.734,123.2145,123.2145
2016-12-30 12:00:00+00:00,123.2165,123.514,123.1655,123.492
2016-12-30 13:00:00+00:00,123.496,123.611,123.3475,123.3975
2016-12-30 14:00:00+00:00,123.3375,123.424,123.2435,123.2785
2016-12-30 15:00:00+00:00,123.28,123.3405,123.0395,123.1785
2016-12-30 16:00:00+00:00,123.162,123.418,122.9775,123.078
2016-12-30 17:00:00+00:00,123.0335,123.319,123.0125,123.2605
2016-12-30 18:00:00+00:00,123.2445,123.2595,122.964,122.965
2016-12-30 19:00:00+00:00,123.0295,123.0875,122.957,123.023
2016-12-30 20:00:00+00:00,123.0295,123.0295,122.9495,123.011
2016-12-30 21:00:00+00:00,123.005,123.0835,122.954,123.0535
2016-12-30 22:00:00+00:00,123.028,123.028,122.966,122.966
