utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-02 00:00:00+00:00,923.3,-0.0298,-0.0195,0.0038,0.0016,0.0001,0.0011,0.0217,0.0032,0.0287,0.1018,0.0184,0.0022,-0.0022,0.0276,0.4654,0.0157,0.0038,0.0022,0.0292,-0.0043,0.0279,0.0,0.0,0.0032
2019-01-03 00:00:00+00:00,5618.4,-0.1241,-0.0194,0.0016,-0.0005,0.0004,0.0033,0.0055,0.0113,0.0263,0.0618,0.0247,0.0025,-0.0007,0.0163,0.257,0.0148,0.006,0.0012,-0.025,-0.0088,0.0297,0.0,0.0,-0.0021
2019-01-04 00:00:00+00:00,4352.0,-0.1064,-0.031,0.003,-0.0018,-0.0005,0.0048,0.0231,0.003,0.0313,0.0442,0.0093,0.0034,0.0054,0.0242,0.1432,0.0351,0.0256,0.0003,0.0415,-0.0011,0.0572,0.0,0.0,0.0007
2019-01-05 00:00:00+00:00,3701.3,-0.1081,-0.0269,0.0027,-0.0012,0.0037,0.0065,-0.008,0.007,0.029,0.0578,0.0081,0.0016,-0.0128,0.0107,0.2617,0.0222,0.0054,-0.0,0.0258,-0.002,0.0351,0.0,0.0011,0.0007
2019-01-06 00:00:00+00:00,857.9,-0.0682,-0.0087,0.0012,0.0023,0.0028,0.0047,0.0157,0.0082,0.0431,0.0629,0.0163,0.014,0.0187,0.028,0.3224,0.0207,-0.0017,0.0,0.0542,0.0105,0.0325,0.0,0.0,0.0
2019-01-07 00:00:00+00:00,2029.1000000000001,-0.0848,-0.0133,0.0076,0.0015,-0.0012,0.0096,0.0138,0.0049,0.0473,0.0973,0.02,0.0037,0.0096,0.02,0.4432,-0.011,-0.0039,-0.0005,0.015,-0.0042,0.0201,0.0,0.0027,0.001
2019-01-08 00:00:00+00:00,6112.6,-0.0141,-0.0016,0.0106,-0.0002,0.0033,0.0077,0.0056,0.0035,0.0315,0.0552,0.0145,0.0018,-0.0036,0.0237,0.3208,0.0355,0.0061,0.0013,0.0476,0.0039,0.0231,0.0,-0.0005,0.0147
2019-01-09 00:00:00+00:00,6366.4,-0.0888,0.0043,0.0026,-0.0005,-0.0006,0.0032,-0.006,0.0052,0.0232,0.0544,0.0075,0.0117,0.0024,0.0273,0.2862,0.0299,0.0032,0.001,-0.0295,0.0046,0.021,0.0,0.0,0.0034
2019-01-10 00:00:00+00:00,7340.2,-0.0333,0.0028,0.0059,-0.0006,0.0001,0.0028,-0.005,0.002,0.0369,0.0512,0.0145,0.0052,-0.0048,0.0141,0.2527,0.0447,0.0028,0.002,0.0313,0.0026,0.0343,0.0,0.0,0.0097
2019-01-11 00:00:00+00:00,7019.2,-0.0443,-0.011,0.0017,-0.0011,0.001,0.0032,0.0048,0.0068,0.023,0.053,0.0114,0.0044,0.003,0.0306,0.3185,0.0194,0.0058,0.0024,0.0289,0.0051,0.0364,0.0,0.0,0.001
2019-01-12 00:00:00+00:00,5246.7,-0.0294,0.0003,0.0024,-0.0025,0.0009,0.0053,0.0075,0.0082,0.0168,0.0421,0.0188,0.0014,-0.0023,0.0146,0.2664,0.0373,0.0034,0.0004,0.0419,0.0105,0.0258,0.0,0.0004,0.0132
2019-01-13 00:00:00+00:00,1047.7,-0.0277,0.0124,0.0029,-0.0005,0.0014,0.0043,0.0449,0.0076,0.0162,0.0291,0.021,0.0,-0.0014,0.0301,0.3006,0.0382,-0.001,0.0029,0.0525,0.0172,0.0373,0.0,0.0,0.022
2019-01-14 00:00:00+00:00,1137.8,-0.1046,-0.0527,0.0075,0.0031,0.0001,0.0066,-0.0004,0.004,0.022,0.0879,0.0171,0.0035,0.0105,0.0127,0.377,-0.0024,-0.0013,-0.0013,0.0083,0.0035,0.0449,0.0,0.0018,-0.007
2019-01-15 00:00:00+00:00,5064.0,-0.1249,-0.0202,0.0037,0.0013,0.0,0.0034,-0.0068,0.0049,0.0238,0.0445,0.0205,0.0026,-0.0178,0.0195,0.2892,0.0147,0.0018,0.0014,-0.0234,0.0003,0.027,0.0,0.0,-0.002
2019-01-16 00:00:00+00:00,7929.9,-0.1144,-0.0265,0.0019,-0.0003,-0.0003,0.0056,0.0007,0.0069,0.0243,0.0584,0.0104,0.002,0.0086,0.0273,0.3377,0.0116,0.0018,-0.0004,-0.0041,0.002,0.026,0.0,0.0,0.0033
