utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-02 00:00:00+00:00,530.0,124.5,116.0,-0.4717,-0.0132,-0.0005,0.0,0.1151,0.0038,0.0057,-0.0066,-0.0038,0.0,0.0321,-0.3213,0.0,-0.004,0.0161,0.241,0.0,0.0161,0.008,0.008,0.0,0.0562,0.7414,0.0086,0.0517,0.0517,0.0
2019-01-03 00:00:00+00:00,1658.0,1397.1,937.5,-0.3477,0.0115,-0.0011,0.0072,0.0685,-0.0042,0.0042,-0.0047,-0.1128,0.0,0.0458,-0.1453,-0.0082,-0.0012,0.005,0.0472,0.0,0.0107,0.0004,-0.0687,-0.0014,0.0062,0.8085,0.0917,0.0357,0.0027,0.016
2019-01-04 00:00:00+00:00,1274.6,935.7,619.0,-0.5143,-0.0165,-0.0001,0.0039,0.0243,0.0063,0.0039,-0.0122,-0.2597,-0.0251,0.0115,-0.4355,-0.0085,-0.0043,0.047,0.0791,0.124,0.0262,-0.0011,0.008,0.0,0.0088,0.7803,0.1147,0.0388,0.0,0.0145
2019-01-05 00:00:00+00:00,1363.3,568.5,608.0,0.2318,-0.0106,0.0093,0.0051,0.0257,0.0022,0.0029,0.044,0.2179,0.0029,0.0604,-0.1768,-0.0,-0.0084,0.0158,0.0862,0.0141,0.0141,0.0053,0.0106,-0.0018,0.0193,0.6924,0.1365,0.0576,0.023,0.0395
2019-01-06 00:00:00+00:00,69.0,101.0,85.0,0.1594,-0.1159,0.0399,0.0,0.0725,0.0,0.0,-0.0507,0.1304,-0.029,0.029,-0.3465,-0.0941,-0.0025,0.0198,0.104,0.0099,0.0693,0.0,0.0099,0.0,0.0594,0.7294,0.0824,-0.0353,0.0,0.0471
2019-01-07 00:00:00+00:00,65.5,240.2,158.5,0.084,-0.0458,0.0,0.0153,0.0305,0.0,0.0611,-0.0305,0.0611,0.0,0.1069,-0.3081,-0.0978,0.0021,0.1291,0.0937,0.0,0.0083,0.0,0.0208,-0.0083,0.0404,0.7918,0.1577,0.0,0.0,0.0379
2019-01-08 00:00:00+00:00,1154.4,1115.5,573.0,-0.0992,0.0061,0.0112,0.013,0.0424,0.0,0.0035,0.0152,-0.0398,0.0022,0.0283,-0.2604,-0.0121,0.0007,0.0547,0.095,0.0081,0.0134,0.0103,-0.0081,-0.0036,0.0269,0.8089,0.0471,0.0401,0.0035,0.0253
2019-01-09 00:00:00+00:00,809.0,943.8,780.0,0.0365,0.026,0.0187,0.0012,0.0253,0.0148,0.0087,0.0287,0.2509,0.0185,0.0456,-0.2024,0.0381,0.0013,0.0132,0.1086,0.0021,0.0413,0.0074,0.0371,-0.0042,0.0242,0.6942,0.1218,0.0628,0.0179,0.0224
2019-01-10 00:00:00+00:00,745.9,619.5,491.0,0.2909,0.0268,0.0027,0.0,0.0208,0.004,0.0147,0.0349,0.2782,0.0107,0.0555,-0.0702,0.0113,0.0125,0.0081,0.0839,0.0016,0.0113,0.0065,0.0161,0.0,0.0468,0.5804,0.055,0.0244,0.0041,0.0428
2019-01-11 00:00:00+00:00,1182.9,1127.0,948.0,-0.2097,-0.044,0.002,0.0059,0.0325,0.0008,0.0034,-0.011,-0.1044,-0.0076,0.015,-0.2981,-0.0714,0.0007,0.0231,0.0883,0.0009,0.0151,0.0293,-0.0524,0.0,0.0271,0.7885,0.0654,0.0047,0.0095,0.038
2019-01-12 00:00:00+00:00,1408.1,1533.2,828.5,0.0185,0.0511,0.0028,0.0192,0.0334,0.0004,0.0121,0.0232,0.0273,0.0135,0.0048,-0.2439,-0.1454,-0.0002,0.0365,0.0776,0.0039,0.0176,0.017,0.0352,0.0391,0.0363,0.72,0.1044,0.0604,0.0326,0.026
2019-01-13 00:00:00+00:00,86.5,161.0,150.0,-0.0,0.0058,0.0,0.0,0.0462,-0.0058,0.0116,-0.0029,-0.1734,0.0,0.0,-0.2174,-0.0466,0.0,0.0217,0.0497,0.0124,0.0248,0.0186,0.0435,0.0124,0.0745,0.83,0.0867,0.0,-0.0067,0.01
2019-01-14 00:00:00+00:00,89.5,101.0,88.0,-0.1508,0.0,0.0,0.0112,0.0894,0.0112,0.0,-0.0168,-0.0112,0.0,0.0894,-0.1733,-0.0149,0.0,0.0,0.0347,0.0297,0.0,0.0,-0.0099,0.0,0.0297,0.6705,0.2386,0.0227,0.0227,0.0114
2019-01-15 00:00:00+00:00,1559.4,764.4,440.0,-0.5031,-0.0308,0.0,0.0071,0.0516,0.0244,0.0346,-0.016,-0.1501,-0.0032,0.0375,-0.0242,-0.0065,0.0105,0.0052,0.0693,0.0013,0.0105,0.0078,0.0092,-0.0052,0.0424,0.7318,0.1148,0.1125,0.0125,0.0159
2019-01-16 00:00:00+00:00,1010.2,1890.2,1472.0,-0.1668,-0.0198,-0.0032,0.0173,0.0703,0.004,0.0059,-0.0026,0.1609,0.0277,0.0124,-0.2063,-0.0421,0.0119,0.0148,0.059,0.0222,0.0169,0.0101,-0.0373,-0.0011,0.0268,0.6994,0.1359,0.0099,0.001,0.0068
2019-01-17 00:00:00+00:00,1243.5,1161.3,1009.0,0.0716,0.0024,0.0011,0.0129,0.0603,0.0016,0.0161,0.0221,0.2035,0.004,0.004,-0.0047,-0.0009,0.0136,0.0112,0.1115,0.0009,0.0542,-0.0,0.0103,-0.0009,0.0347,0.7443,0.0991,-0.0059,-0.0059,0.0109
2019-01-18 00:00:00+00:00,1102.7,965.5,795.0,-0.3664,0.0218,0.0003,0.0073,0.0757,-0.0018,0.0027,-0.0063,-0.1682,-0.0018,0.0165,-0.0943,0.0601,0.0025,0.0093,0.0891,0.0,0.0145,0.0062,-0.0735,0.0,0.0186,0.7082,0.0642,-0.0377,-0.0107,-0.0013
2019-01-19 00:00:00+00:00,1405.5,1523.9,896.5,0.2778,0.0374,0.0007,0.0064,0.0149,0.0043,0.0149,0.0372,0.2255,0.0043,0.0711,0.0866,-0.0072,0.0129,0.0092,0.0617,0.0026,0.0171,0.0039,0.001,0.0039,0.0131,0.7217,0.1472,0.0786,0.0139,0.0112
2019-01-20 00:00:00+00:00,74.5,143.0,162.5,0.0,0.0268,-0.0101,0.0403,0.0537,0.0268,0.0134,0.0067,0.0738,-0.0134,0.0403,-0.3147,0.021,0.0009,0.014,0.1713,0.0,0.028,0.0,-0.007,0.0,0.007,0.76,0.0677,0.0492,0.0,0.0431
2019-01-21 00:00:00+00:00,124.5,468.5,162.5,0.1044,-0.0161,-0.008,0.0,0.0522,0.0161,0.0402,0.0321,0.0643,-0.008,0.0482,-0.3319,-0.0043,0.0043,0.0299,0.2508,-0.0011,0.0085,0.0085,0.0128,0.0021,0.0171,0.8462,0.0646,0.0215,0.0,0.0062
2019-01-22 00:00:00+00:00,1018.2,807.9,1160.0,-0.1611,0.0059,0.022,0.0069,0.0216,0.0,0.0172,0.0049,-0.1233,-0.0069,0.0115,-0.0452,-0.0037,0.0019,0.0043,0.1015,-0.0006,0.0043,0.008,-0.0693,-0.0111,0.0116,0.7358,0.0177,-0.0022,-0.0134,-0.003
