utc_datetime,bid_open,bid_high,bid_low,bid_close
2019-01-02 00:00:00+00:00,139.754,139.8915,139.657,139.858
2019-01-03 00:00:00+00:00,139.857,139.863,131.317,134.453
2019-01-04 00:00:00+00:00,134.4495,136.7655,133.8745,136.1815
2019-01-05 00:00:00+00:00,136.1835,138.271,135.794,138.129
2019-01-07 00:00:00+00:00,138.0875,138.305,137.91,138.188
2019-01-08 00:00:00+00:00,138.189,138.937,137.606,138.875
2019-01-09 00:00:00+00:00,138.876,139.419,137.97,138.519
2019-01-10 00:00:00+00:00,138.518,139.077,137.753,138.441
2019-01-11 00:00:00+00:00,138.441,138.489,137.443,138.083
2019-01-12 00:00:00+00:00,138.084,139.458,137.632,139.424
2019-01-14 00:00:00+00:00,139.502,139.5665,139.333,139.333
2019-01-15 00:00:00+00:00,139.333,140.039,138.586,139.322
2019-01-16 00:00:00+00:00,139.327,140.405,137.3495,139.823
2019-01-17 00:00:00+00:00,139.823,140.689,138.983,140.511
2019-01-18 00:00:00+00:00,140.511,142.189,139.508,141.673
2019-01-19 00:00:00+00:00,141.674,142.055,141.083,141.184
2019-01-21 00:00:00+00:00,141.2745,141.3465,140.894,140.947
2019-01-22 00:00:00+00:00,140.949,141.5125,140.678,141.368
2019-01-23 00:00:00+00:00,141.369,141.904,140.616,141.656
2019-01-24 00:00:00+00:00,141.653,143.533,141.651,143.238
2019-01-25 00:00:00+00:00,143.238,143.826,142.703,143.759
2019-01-26 00:00:00+00:00,143.757,144.814,143.393,144.698
2019-01-28 00:00:00+00:00,144.4645,144.704,144.4375,144.503
2019-01-29 00:00:00+00:00,144.504,144.526,143.595,143.782
2019-01-30 00:00:00+00:00,143.778,144.453,142.723,143.102
2019-01-31 00:00:00+00:00,143.1,143.569,142.731,142.917
2019-02-01 00:00:00+00:00,142.918,143.18,142.238,142.656
2019-02-02 00:00:00+00:00,142.655,143.47,142.07,143.246
2019-02-04 00:00:00+00:00,143.1425,143.2635,143.0415,143.109
2019-02-05 00:00:00+00:00,143.109,144.156,143.108,143.257
2019-02-06 00:00:00+00:00,143.256,143.555,142.031,142.423
2019-02-07 00:00:00+00:00,142.424,142.489,141.747,142.228
2019-02-08 00:00:00+00:00,142.228,142.609,141.112,142.115
2019-02-09 00:00:00+00:00,142.116,142.492,141.843,141.997
2019-02-11 00:00:00+00:00,142.0295,142.091,141.9395,142.032
2019-02-12 00:00:00+00:00,142.034,142.529,141.853,141.981
2019-02-13 00:00:00+00:00,141.982,142.609,141.864,142.442
2019-02-14 00:00:00+00:00,142.442,143.3185,142.42,142.588
2019-02-15 00:00:00+00:00,142.589,143.0175,141.287,141.453
2019-02-16 00:00:00+00:00,141.453,142.375,141.0,142.315
2019-02-18 00:00:00+00:00,142.5655,142.677,142.4815,142.659
2019-02-19 00:00:00+00:00,142.657,142.995,142.507,142.916
2019-02-20 00:00:00+00:00,142.917,144.674,142.471,144.396
2019-02-21 00:00:00+00:00,144.393,145.018,144.117,144.455
2019-02-22 00:00:00+00:00,144.454,144.901,144.075,144.335
2019-02-23 00:00:00+00:00,144.34,144.72,143.775,144.414
2019-02-25 00:00:00+00:00,144.6805,144.86,144.471,144.696
2019-02-26 00:00:00+00:00,144.696,145.8325,144.45,145.743
2019-02-27 00:00:00+00:00,145.746,147.036,145.385,146.552
2019-02-28 00:00:00+00:00,146.553,148.018,146.159,147.634
2019-03-01 00:00:00+00:00,147.63,148.236,146.977,147.708
2019-03-02 00:00:00+00:00,147.704,148.541,147.512,147.849
2019-03-04 00:00:00+00:00,148.1885,148.274,147.8905,148.145
2019-03-05 00:00:00+00:00,148.144,148.28,147.099,147.278
2019-03-06 00:00:00+00:00,147.279,147.758,146.6,147.167
2019-03-07 00:00:00+00:00,147.163,147.289,146.68,147.107
2019-03-08 00:00:00+00:00,147.106,147.264,145.772,146.122
2019-03-09 00:00:00+00:00,146.125,146.131,144.3,144.585
2019-03-11 00:00:00+00:00,144.3225,144.408,144.1305,144.216
2019-03-12 00:00:00+00:00,144.216,147.791,143.707,147.446
2019-03-13 00:00:00+00:00,147.446,147.4545,144.564,145.404
2019-03-14 00:00:00+00:00,145.404,148.7075,145.381,147.749
2019-03-15 00:00:00+00:00,147.749,148.856,147.368,148.142
2019-03-16 00:00:00+00:00,148.141,148.36,147.409,148.17
2019-03-18 00:00:00+00:00,148.217,148.353,148.148,148.305
2019-03-19 00:00:00+00:00,148.304,148.369,146.998,147.733
2019-03-20 00:00:00+00:00,147.733,148.037,147.527,147.849
2019-03-21 00:00:00+00:00,147.848,148.069,145.869,146.112
2019-03-22 00:00:00+00:00,146.109,146.379,144.122,145.478
2019-03-23 00:00:00+00:00,145.478,145.732,144.518,145.146
2019-03-25 00:00:00+00:00,145.313,145.49,145.16,145.369
2019-03-26 00:00:00+00:00,145.369,145.782,144.618,145.397
2019-03-27 00:00:00+00:00,145.393,146.445,144.999,146.041
2019-03-28 00:00:00+00:00,146.042,146.485,145.107,145.309
2019-03-29 00:00:00+00:00,145.308,145.549,144.229,144.397
2019-03-30 00:00:00+00:00,144.396,145.47,143.819,144.323
2019-04-01 00:00:00+00:00,144.6455,144.648,144.37,144.502
2019-04-02 00:00:00+00:00,144.502,146.332,144.406,145.617
2019-04-03 00:00:00+00:00,145.616,146.422,144.916,146.093
2019-04-04 00:00:00+00:00,146.092,147.178,146.011,146.76
2019-04-05 00:00:00+00:00,146.759,146.941,145.662,145.952
2019-04-06 00:00:00+00:00,145.951,146.535,145.09,145.546
2019-04-08 00:00:00+00:00,145.5465,145.637,145.521,145.637
2019-04-09 00:00:00+00:00,145.636,145.76,145.085,145.547
2019-04-10 00:00:00+00:00,145.547,146.036,144.767,145.012
2019-04-11 00:00:00+00:00,145.012,145.648,144.941,145.346
2019-04-12 00:00:00+00:00,145.346,145.933,145.114,145.729
2019-04-13 00:00:00+00:00,145.729,146.995,145.698,146.453
2019-04-15 00:00:00+00:00,146.411,146.564,146.394,146.562
2019-04-16 00:00:00+00:00,146.562,146.979,146.333,146.63
2019-04-17 00:00:00+00:00,146.629,146.737,145.949,146.022
2019-04-18 00:00:00+00:00,146.023,146.283,145.82,146.072
2019-04-19 00:00:00+00:00,145.422,145.491,145.315,145.476
2019-04-20 00:00:00+00:00,145.473,145.55,145.333,145.454
2019-04-22 00:00:00+00:00,145.3335,145.447,145.3295,145.382
2019-04-23 00:00:00+00:00,145.385,145.495,145.2,145.281
2019-04-24 00:00:00+00:00,145.282,145.604,144.57,144.728
2019-04-25 00:00:00+00:00,144.728,145.002,144.386,144.714
2019-04-26 00:00:00+00:00,144.714,144.863,143.777,143.88
2019-04-27 00:00:00+00:00,143.88,144.429,143.766,144.237
2019-04-29 00:00:00+00:00,144.195,144.239,144.17,144.223
2019-04-30 00:00:00+00:00,144.223,144.69,144.181,144.444
2019-05-01 00:00:00+00:00,144.444,145.35,144.041,145.272
2019-05-02 00:00:00+00:00,145.272,145.67,145.266,145.454
2019-05-03 00:00:00+00:00,145.455,145.848,145.081,145.282
2019-05-04 00:00:00+00:00,145.283,146.484,144.79,146.261
2019-05-06 00:00:00+00:00,145.761,145.929,145.454,145.476
