utc_datetime,bid_open,bid_high,bid_low,bid_close
2015-01-02 00:00:00+00:00,1.55813,1.55834,1.55661,1.55772
2015-01-03 00:00:00+00:00,1.55771,1.55808,1.53258,1.53323
2015-01-05 00:00:00+00:00,1.52741,1.52972,1.5172,1.52825
2015-01-06 00:00:00+00:00,1.52824,1.53177,1.52024,1.52553
2015-01-07 00:00:00+00:00,1.52553,1.52717,1.51216,1.51325
2015-01-08 00:00:00+00:00,1.51325,1.51532,1.50529,1.51034
2015-01-09 00:00:00+00:00,1.51034,1.51156,1.50324,1.50836
2015-01-10 00:00:00+00:00,1.50836,1.51739,1.50819,1.51626
2015-01-12 00:00:00+00:00,1.51773,1.51922,1.51656,1.51874
2015-01-13 00:00:00+00:00,1.51875,1.51881,1.50971,1.51686
2015-01-14 00:00:00+00:00,1.51686,1.51895,1.50758,1.51659
2015-01-15 00:00:00+00:00,1.5166,1.52671,1.51434,1.52321
2015-01-16 00:00:00+00:00,1.52321,1.5265,1.51484,1.51781
2015-01-17 00:00:00+00:00,1.51784,1.52326,1.50731,1.51569
2015-01-19 00:00:00+00:00,1.51284,1.5144,1.51145,1.51392
2015-01-20 00:00:00+00:00,1.51393,1.51767,1.50815,1.50871
2015-01-21 00:00:00+00:00,1.50871,1.51975,1.50558,1.51431
2015-01-22 00:00:00+00:00,1.51431,1.51765,1.50754,1.51415
2015-01-23 00:00:00+00:00,1.51414,1.52105,1.49707,1.50047
2015-01-24 00:00:00+00:00,1.50046,1.5034,1.49504,1.4996
2015-01-26 00:00:00+00:00,1.50021,1.50168,1.49856,1.49915
2015-01-27 00:00:00+00:00,1.49915,1.51015,1.49904,1.50834
2015-01-28 00:00:00+00:00,1.50834,1.52209,1.50579,1.51869
2015-01-29 00:00:00+00:00,1.51869,1.52174,1.51289,1.51379
2015-01-30 00:00:00+00:00,1.5138,1.51602,1.50166,1.5076
2015-01-31 00:00:00+00:00,1.50755,1.50939,1.49875,1.50598
2015-02-02 00:00:00+00:00,1.50855,1.50976,1.50738,1.50821
2015-02-03 00:00:00+00:00,1.50821,1.50859,1.5004,1.50248
