utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-02 00:00:00+00:00,377.5,-0.0464,-0.0318,0.0212,-0.0132,0.0036,0.0132,-0.0013,0.0,0.0079,0.0424,0.0106,0.0,0.0079,0.0265,0.245,0.0311,-0.0053,0.0,0.0238,0.0026,0.0291,0.0,0.0,0.0079
2019-01-03 00:00:00+00:00,2755.2,-0.1541,-0.0512,0.0025,-0.0011,-0.0015,0.0015,0.0109,0.0191,0.0459,0.0606,0.0054,0.0024,-0.0051,0.0196,0.3233,0.0036,0.0004,0.0025,-0.0775,-0.0036,0.0313,0.0,0.0,-0.0004
2019-01-04 00:00:00+00:00,3145.9,-0.1834,-0.0264,0.0035,-0.0008,0.0025,0.0025,0.0013,0.0153,0.0313,0.0501,0.0134,0.0022,0.0043,0.0113,0.2717,0.0095,-0.0111,-0.0016,-0.0559,-0.001,0.0281,0.0,0.0,0.0016
2019-01-05 00:00:00+00:00,2072.9,-0.0958,0.0024,0.0014,0.001,0.0006,0.0034,0.0094,0.0145,0.0188,0.0403,0.0207,0.0019,-0.0048,0.0258,0.2314,0.0302,-0.0043,-0.0005,-0.0065,0.0031,0.0241,0.0,0.0,-0.0092
2019-01-06 00:00:00+00:00,217.5,0.0161,-0.0,0.0,-0.0138,0.0,0.0184,-0.0138,0.0092,0.0023,0.0621,0.0276,0.0092,0.0092,0.0,0.4069,0.0253,0.0,0.0,0.0437,0.0023,0.0023,0.0,0.0,-0.0115
2019-01-07 00:00:00+00:00,527.9,-0.0957,0.0057,0.0038,0.0038,-0.0036,0.0019,0.0057,0.0133,0.0227,0.0559,0.0189,0.0019,0.0076,0.0369,0.2768,0.0156,0.0057,0.0133,-0.0028,-0.0161,0.0434,0.0,0.0,0.0057
2019-01-08 00:00:00+00:00,2978.1,-0.0452,-0.0136,0.0024,-0.0007,-0.0032,0.0034,0.0369,0.0086,0.0232,0.0442,0.0089,0.0084,0.0024,0.0405,0.3095,0.0181,0.0039,0.001,0.027,0.0022,0.0476,0.0,0.0,0.0112
2019-01-09 00:00:00+00:00,3287.8,-0.1014,-0.0132,0.0006,0.0003,0.004,0.0061,0.0248,0.0061,0.0193,0.063,0.0246,0.0033,0.0061,0.0313,0.2217,0.0275,0.0036,0.0061,-0.0055,0.0078,0.0565,0.0,0.0,0.0093
2019-01-10 00:00:00+00:00,3962.4,-0.0679,-0.0257,0.0028,0.001,-0.0021,0.001,0.009,0.0071,0.0466,0.0608,0.0148,0.0015,0.0006,0.0324,0.3145,0.0205,0.0014,0.0023,0.0213,0.0035,0.0418,0.0,0.0,0.01
2019-01-11 00:00:00+00:00,3529.9,-0.1697,-0.0064,0.0031,-0.0001,0.0013,0.0062,-0.0004,0.0169,0.0242,0.0398,0.0044,0.0013,-0.0084,0.0339,0.3266,0.0019,0.001,-0.0006,-0.0324,0.0057,0.045,0.0,0.0,-0.0011
