utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-02 00:00:00+00:00,72.0,48.0,34.0,-0.5278,-0.1111,0.0,0.1111,0.0972,0.0,0.0694,-0.0903,-0.0139,0.0,0.0556,-0.0417,0.0208,0.0,0.0,0.0625,0.0,0.0,0.0,-0.0833,0.0,0.0417,0.4706,0.2941,0.0,0.0,0.0
2019-01-03 00:00:00+00:00,654.0,355.0,86.5,-0.1919,-0.0413,-0.001,0.0122,0.0879,0.0046,0.0023,-0.0317,-0.0168,0.0,0.039,-0.0592,-0.0352,0.0137,0.0,0.0577,0.0028,0.0085,0.0197,0.0,0.0,0.0197,0.2601,0.3931,0.0231,0.0,0.0116
2019-01-04 00:00:00+00:00,685.5,388.0,174.0,0.0233,-0.0233,0.0288,0.0219,0.0263,0.0,0.0292,-0.0109,-0.0817,-0.0058,0.062,0.0387,-0.0232,0.0032,0.0103,0.0709,0.0052,0.0103,0.0077,0.0026,0.0,0.0116,0.773,0.1293,0.0517,0.023,0.0115
2019-01-05 00:00:00+00:00,371.0,211.3,247.0,0.4596,0.0108,0.0,0.0027,0.0189,0.0,0.0054,0.0526,0.1846,0.0,0.0216,-0.0923,-0.0047,-0.0012,0.0,0.0947,0.0,0.0047,0.0237,0.0047,0.0,-0.0009,0.585,0.3057,0.004,0.0,0.0121
2019-01-06 00:00:00+00:00,39.0,59.0,38.0,0.1795,-0.0256,0.0321,0.0513,0.1026,0.0,0.0,-0.0256,0.0513,0.0,0.0,-0.2797,0.0,-0.0169,0.0,0.1525,0.0,0.0254,0.0,0.0169,0.0,0.0847,0.3421,0.5526,0.0263,0.0,0.0
2019-01-07 00:00:00+00:00,44.0,81.5,26.5,-0.0,-0.0455,0.0114,0.0,0.1364,0.0,0.0,0.0568,-0.0227,0.0,0.0,-0.2577,-0.0736,-0.0061,0.0245,0.0307,0.0,0.0245,0.0491,0.0368,-0.0123,0.0245,0.4717,0.0755,0.1132,0.0377,-0.0377
2019-01-08 00:00:00+00:00,558.5,528.0,131.5,0.0009,0.0358,0.0114,0.0107,0.0573,0.0,0.0215,-0.004,0.043,0.0,0.0251,-0.303,-0.0189,-0.0005,0.0019,0.0777,0.0019,0.0038,0.0,0.0265,-0.0019,0.0331,0.5323,0.3764,0.076,0.0684,-0.0152
2019-01-09 00:00:00+00:00,557.6,404.1,211.5,-0.1435,-0.069,0.0009,0.0,0.0834,0.0126,0.0323,0.0013,0.0565,0.0018,0.0172,0.146,0.0,0.0043,0.0148,0.0643,0.0025,0.0346,0.0025,0.0198,0.0,-0.0077,0.4137,0.279,-0.0142,-0.0142,-0.052
2019-01-10 00:00:00+00:00,277.3,397.0,307.0,0.1515,0.0379,0.0198,0.0018,0.0757,0.0072,0.0216,0.0189,0.1695,0.0,-0.0011,-0.0781,-0.0302,0.0013,0.0038,0.0693,0.0,0.0327,0.0025,0.0076,-0.0076,0.0101,0.3974,0.3974,-0.0098,0.0,0.0
2019-01-11 00:00:00+00:00,598.0,369.5,136.5,-0.1187,0.0167,0.0096,0.0192,0.036,0.0067,0.0117,-0.0033,-0.0017,-0.0008,0.0309,-0.1069,-0.1678,0.0,0.0162,0.0595,0.0,0.0135,0.0,0.0068,0.0014,-0.0014,0.37,0.4176,0.0513,0.0,0.0073
2019-01-12 00:00:00+00:00,633.2,364.7,159.0,0.0458,-0.0103,0.0016,0.0,0.0576,0.0016,0.0142,-0.0014,0.0221,-0.0016,0.0253,-0.0315,0.0603,0.0,-0.0069,0.1111,-0.0041,0.059,0.0,-0.0274,0.0219,-0.0022,0.566,0.2767,0.0566,0.0189,-0.0252
2019-01-13 00:00:00+00:00,50.0,66.0,34.0,-0.2,0.0,0.0,0.0,0.08,0.0,0.04,-0.02,-0.08,0.0,0.08,-0.1212,-0.0455,0.0,0.0455,0.197,0.0,0.0303,0.0,-0.0455,0.0,0.0152,0.4412,0.2647,0.1471,0.0588,0.0
2019-01-14 00:00:00+00:00,144.0,140.5,75.5,-0.2674,-0.0312,0.0035,0.0069,0.0521,0.0,0.0139,-0.0156,-0.0521,-0.0035,0.0903,-0.1317,-0.0214,0.0018,0.0,0.0783,0.0285,0.1637,0.0,0.1423,0.1423,0.0569,0.8675,0.1192,0.0,0.0,0.0
2019-01-15 00:00:00+00:00,544.0,924.0,176.5,-0.227,-0.0754,0.0046,0.0037,0.0809,0.0,0.0055,-0.0303,-0.0634,0.0009,0.0202,-0.1477,-0.0492,0.0011,0.0043,0.0563,0.0,0.0097,0.0119,0.0076,0.0076,0.0216,0.2833,0.3088,0.0397,0.017,-0.017
2019-01-16 00:00:00+00:00,865.0,553.5,134.0,-0.122,-0.0653,0.0091,0.0012,0.0792,0.0069,0.0347,-0.0171,0.0647,0.0104,0.059,-0.2855,-0.0723,0.0025,0.0136,0.047,0.0036,0.0217,0.0108,0.0271,0.0578,0.075,0.4216,0.4963,0.0075,0.0149,0.0
2019-01-17 00:00:00+00:00,2817.5,706.0,663.5,-0.3562,-0.0117,0.0034,0.006,0.1636,0.0005,0.019,-0.0203,0.0112,0.0035,0.0257,-0.1721,-0.017,-0.0004,-0.0014,0.1579,0.0014,0.0623,0.0028,0.0241,0.0127,0.0524,0.6541,0.1997,0.003,0.0,0.0181
2019-01-18 00:00:00+00:00,870.2,522.8,306.5,-0.1695,-0.0075,0.0155,0.0057,0.0649,0.0023,0.0172,-0.0144,-0.0224,-0.0023,0.0278,-0.1693,-0.0832,-0.0077,-0.0,0.0956,-0.001,0.0306,0.0172,-0.0077,0.0038,0.0207,0.7047,0.2496,0.0065,0.0,0.0065
2019-01-19 00:00:00+00:00,480.3,598.0,161.0,0.2519,0.0427,0.0042,0.0042,0.0437,0.0,0.0271,0.0474,0.0697,0.0,0.0516,-0.0518,0.0192,0.0004,-0.0008,0.0895,0.0017,0.0619,0.0209,0.0803,0.0217,0.0176,0.4472,0.354,0.1118,0.0,0.0186
2019-01-20 00:00:00+00:00,13.5,83.2,27.5,-0.2593,-0.0741,0.0185,0.0,0.0741,0.0,0.0,-0.037,-0.0741,0.0,0.0741,0.012,0.0361,0.009,0.0,0.0,0.0,0.2163,0.012,0.1803,0.0962,0.0264,0.1818,0.5636,0.0,0.0,0.0
2019-01-21 00:00:00+00:00,79.2,125.0,64.0,0.1136,-0.0253,0.0032,0.0189,0.1389,0.0,0.0,-0.0063,-0.0379,0.0,0.0354,-0.132,-0.024,-0.004,0.0,0.064,0.0,0.016,0.044,0.272,0.304,0.008,0.5938,0.1719,0.0156,0.0,0.0156
2019-01-22 00:00:00+00:00,528.0,464.9,307.0,-0.0871,0.0284,0.0007,0.0246,0.0805,0.0114,0.0133,-0.0109,0.0161,0.0076,0.017,-0.0462,-0.0043,-0.0022,0.0,0.043,0.0,0.0688,0.0054,-0.0,0.0344,0.0686,0.7492,0.0749,0.0521,0.0,0.0065
2019-01-23 00:00:00+00:00,781.4,620.5,323.0,-0.0416,-0.0275,0.0,0.0147,0.064,0.0013,0.009,0.0333,-0.0019,-0.0307,0.0261,-0.2087,0.0403,-0.005,0.0145,0.0693,0.0032,0.0145,0.0081,0.0226,0.0242,0.0427,0.5263,0.3591,0.065,0.0526,0.0
2019-01-24 00:00:00+00:00,532.5,262.5,407.5,-0.2582,0.0038,0.0,0.0451,0.0479,0.0075,0.0094,-0.0329,-0.0404,0.0019,0.0169,-0.059,0.0248,0.0124,0.0076,0.099,0.0,0.0857,0.0057,0.0533,0.0457,0.0362,0.719,0.2221,0.0172,0.0049,0.0025
2019-01-25 00:00:00+00:00,503.0,232.0,456.0,0.0199,-0.0229,0.002,0.002,0.0716,0.006,0.0417,-0.002,0.0278,0.0,0.0239,-0.1034,0.0065,-0.0,0.0,0.056,0.0,0.0,0.0345,0.1078,0.0776,0.056,0.8235,0.1283,0.011,0.0,0.0088
2019-01-26 00:00:00+00:00,803.5,300.6,190.5,0.4014,0.0386,0.0473,0.0037,0.0218,0.0,0.0162,-0.0084,0.0342,0.0037,0.0143,-0.0848,-0.0299,-0.01,0.0,0.0665,0.0,0.0699,0.0067,0.0333,0.0067,0.0429,0.6194,0.2231,-0.021,0.0,-0.0682
2019-01-27 00:00:00+00:00,63.0,240.5,170.5,0.2222,0.0317,0.0079,0.0317,0.0,0.0,0.0,0.0159,-0.0159,0.0,0.0,-0.3389,0.0042,0.0,0.0083,0.0457,0.0,0.0,0.0083,0.3742,0.3326,0.0249,0.8123,0.0704,0.0,0.0,-0.0059
2019-01-28 00:00:00+00:00,41.0,78.0,100.5,0.4146,0.122,0.0,0.0488,-0.0122,0.0,0.0244,0.0732,0.0732,0.0488,-0.0122,-0.1346,0.0192,0.0,0.0,-0.0128,0.0449,0.0,-0.0385,0.2308,0.2308,-0.0128,0.6965,0.0846,0.01,0.01,0.0
2019-01-29 00:00:00+00:00,353.9,204.5,405.0,-0.2232,0.0367,0.0,0.0028,0.0692,0.0,0.0057,-0.0,-0.0622,-0.0113,0.0605,-0.3301,-0.0709,-0.0012,0.0293,0.0685,0.0098,0.0049,-0.0073,0.0391,0.0196,-0.0122,0.6111,0.2975,0.0074,0.0,-0.0247
