utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-02 00:00:00+00:00,114.0,0.0175,0.0351,0.0175,0.0,0.0,0.0,0.0526,0.0,0.0263,0.0263,0.0263,0.0,-0.0088,0.0088,0.386,0.0482,0.0,0.0,0.0439,0.0,0.0088,0.0,0.0,0.0877
2019-01-03 00:00:00+00:00,3042.5,0.0412,0.0186,0.0008,0.0003,-0.0009,0.001,0.0049,0.0465,0.0187,0.0378,0.0028,0.0072,0.0072,0.0113,0.1297,0.0723,0.0005,-0.0003,0.1463,0.0087,0.0454,0.0002,0.0,0.0422
2019-01-04 00:00:00+00:00,9548.1,0.0202,-0.0004,0.0006,0.0012,0.0015,0.0014,0.0005,0.0449,0.0312,0.0497,0.007,0.0067,0.039,0.0043,0.1572,0.0634,-0.0012,-0.0001,0.1011,0.0026,0.0916,0.0004,0.0,0.0127
2019-01-05 00:00:00+00:00,5313.4,0.0335,0.0057,-0.0002,-0.0006,0.0023,0.0029,-0.0161,0.0306,0.0228,0.0483,0.0052,0.0055,0.013,0.0151,0.1932,0.0481,-0.0002,-0.0002,0.0821,0.0133,0.0665,0.0,0.0,0.0181
2019-01-06 00:00:00+00:00,213.1,0.0493,0.0141,0.0,0.0,0.0059,0.0,0.0047,0.0188,0.0094,0.0821,0.0141,0.0,0.0094,0.0235,0.2534,0.0671,0.0047,0.0,0.129,0.0,0.0516,0.0,0.0,-0.0
2019-01-07 00:00:00+00:00,460.1,-0.0206,0.013,0.0,0.0,-0.0087,0.0,0.0087,0.0283,0.0196,0.1174,0.0043,0.0022,-0.0043,0.0022,0.0441,0.0656,0.0087,0.0,0.0935,0.0065,0.1678,0.0043,0.0,0.0065
2019-01-08 00:00:00+00:00,1097.9,-0.0724,-0.0173,0.0046,0.0,0.0002,0.0018,-0.0036,0.0059,0.0332,0.0583,0.0055,0.0027,-0.0073,0.0055,0.1663,0.0403,0.0091,0.0009,0.0082,-0.0314,0.0814,0.0,0.0,0.0055
2019-01-09 00:00:00+00:00,1045.5,-0.067,-0.0038,0.0134,0.0038,0.0031,0.001,0.0029,0.01,0.0134,0.0598,0.0057,0.0153,0.0225,0.0153,0.3089,0.0024,0.0072,-0.0014,-0.0306,-0.0048,0.0512,0.0,0.0,-0.0124
2019-01-10 00:00:00+00:00,982.0,-0.0611,-0.0081,0.0015,0.001,0.0036,0.0,-0.0051,0.0087,0.0326,0.0611,0.0234,0.002,-0.0331,0.0183,0.1762,0.0186,-0.0071,0.0,0.0061,0.0377,0.0855,0.0,0.0,0.0199
2019-01-11 00:00:00+00:00,916.7,0.1047,0.0502,0.0022,0.0033,0.039,0.0055,-0.012,0.0224,0.0098,0.0415,0.0022,0.0,0.0147,0.0142,0.2883,0.0712,-0.0098,0.0,0.0758,0.0044,0.0428,0.0,0.0,-0.0044
2019-01-12 00:00:00+00:00,628.5,-0.0955,-0.0326,0.0,-0.0048,-0.0044,0.0175,0.008,0.0127,0.0183,0.0438,0.0175,0.0,-0.0127,0.0127,0.222,0.0187,-0.0064,0.0,0.0533,0.008,0.0605,0.0032,0.0,0.0032
2019-01-13 00:00:00+00:00,111.0,0.045,-0.027,0.018,0.009,-0.0034,0.0,-0.018,0.009,0.0901,0.045,0.0,0.0,-0.018,0.009,0.2523,0.0586,0.036,0.0,0.1171,0.0,0.0631,0.0,0.0,0.036
2019-01-14 00:00:00+00:00,125.5,0.1514,0.0876,0.008,0.0,0.008,0.008,-0.0478,0.0159,0.0159,0.0478,0.0,0.0,-0.0478,0.0319,0.4582,0.0378,0.0,0.0,0.0518,-0.008,0.0159,0.0,0.0,0.0239
2019-01-15 00:00:00+00:00,953.0,-0.0378,-0.0147,0.0,0.001,0.0,0.0,-0.0021,0.0068,0.0567,0.0782,0.0357,0.01,0.0115,0.0247,0.1569,0.048,-0.0052,-0.0031,0.0535,0.0168,0.0724,0.001,0.0,0.0031
2019-01-16 00:00:00+00:00,781.5,-0.0537,-0.0141,0.0026,0.0051,-0.0013,0.0013,-0.0051,0.0013,0.0147,0.0275,0.0064,0.0013,0.0192,0.0365,0.2367,0.0176,0.0019,0.0,-0.0179,-0.0013,0.0409,0.0,0.0,-0.0038
2019-01-17 00:00:00+00:00,940.0,-0.2628,-0.0154,0.0011,0.0,0.0003,0.0011,0.0702,0.0021,0.0197,0.0596,0.033,0.0,-0.0149,0.0181,0.2926,0.0263,-0.0032,-0.0011,-0.041,0.0048,0.0521,0.0,0.0,-0.0
