utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-01 03:00:00+00:00,36.0,0.2222,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0278,0.0278,0.2222,0.1111,0.0,0.0,0.1944,0.0,0.0278,0.0,0.0,0.0833
2019-01-01 06:00:00+00:00,48.0,-0.0417,0.0417,0.0417,0.0,0.0,0.0,0.0833,0.0,0.0417,0.0417,0.0417,0.0,0.0,0.0,0.5,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833
2019-01-01 09:00:00+00:00,22.0,-0.0909,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0455,0.0455,0.0455,0.0,0.0,0.0,0.3636,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364
2019-01-01 12:00:00+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 15:00:00+00:00,6.0,-0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,-0.3333,0.0,0.0,0.0,0.0,0.0
2019-01-01 18:00:00+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 21:00:00+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02 00:00:00+00:00,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 03:00:00+00:00,243.0,0.0082,0.0123,0.0082,0.0,0.0,0.0,-0.0041,0.0782,0.0247,0.0617,0.0041,0.0288,0.0247,0.0,0.4444,0.0267,-0.0,0.0,0.0782,0.0,0.0494,0.0,0.0,0.0041
2019-01-02 06:00:00+00:00,385.0,0.039,0.013,0.0,0.0,-0.0006,0.0,-0.0026,0.0883,0.0,0.0727,0.0026,0.0104,0.0104,0.0468,0.361,-0.0052,0.0,0.0,0.0779,0.0026,0.0156,0.0,0.0,0.0
2019-01-02 09:00:00+00:00,179.0,-0.0922,0.0726,0.0,0.0,-0.0265,0.0,0.0,0.0223,0.0,0.0363,0.0,0.0056,0.0223,0.0056,0.1872,0.0601,-0.0056,-0.0056,0.0587,0.0223,0.0559,0.0,0.0,-0.0028
2019-01-02 12:00:00+00:00,777.5,0.1453,0.0309,0.0013,0.0,0.0023,0.0026,0.0141,0.0463,0.0039,0.0257,0.0,0.0064,0.009,0.0077,0.1852,0.082,-0.0,0.0013,0.1691,0.0141,0.0129,0.0,0.0,0.0476
2019-01-02 15:00:00+00:00,592.0,0.0591,0.0,0.0,0.0,0.0013,0.0017,0.0068,0.0059,0.0203,0.0203,0.0017,0.0017,-0.0,0.0034,-0.1166,0.1482,0.0034,0.0,0.2965,0.0118,0.0659,0.0,0.0,0.076
2019-01-02 18:00:00+00:00,259.5,0.0501,0.0539,0.0,0.0,0.0,0.0,0.0,0.0694,0.0385,0.0154,0.0,0.0,-0.0077,0.0,-0.1329,0.1175,0.0058,0.0,0.1696,0.0231,0.0347,0.0,0.0,0.0424
2019-01-02 21:00:00+00:00,161.0,0.0093,0.0093,0.0,0.0,0.0031,0.0,0.0,0.0807,0.0435,0.0186,0.0,0.0,-0.0062,0.0124,0.0186,0.0683,0.0,0.0,0.1832,-0.0031,0.0373,0.0,0.0,0.1366
2019-01-03 00:00:00+00:00,445.5,-0.0842,-0.009,-0.0011,0.0022,-0.0017,0.0,0.0045,0.0314,0.0426,0.0595,0.0123,0.009,0.009,0.0123,0.1582,0.0264,-0.0022,-0.0022,0.0112,-0.0045,0.1033,0.0011,0.0,0.0292
2019-01-03 03:00:00+00:00,1412.5,-0.1558,-0.0212,0.0014,0.0,-0.0012,0.0,0.0,0.0559,0.0531,0.052,0.0106,0.0021,0.0319,0.0,0.206,0.0264,-0.0092,0.0,-0.0057,-0.0021,0.0949,0.0007,0.0,-0.0163
2019-01-03 06:00:00+00:00,1674.5,0.0851,-0.0006,0.0006,0.0,0.0,0.0006,0.0093,0.052,0.0308,0.0314,0.0069,0.0036,0.0436,0.0,0.1821,0.054,-0.0024,0.0,0.1102,0.0036,0.0875,0.0006,0.0,-0.0084
2019-01-03 09:00:00+00:00,863.0,0.0185,-0.0058,0.0012,-0.0012,0.0029,0.0081,0.0035,0.0881,0.0127,0.029,0.0127,0.0041,0.0666,0.0104,0.0857,0.0646,0.0012,0.0,0.1535,0.0081,0.1205,0.0,0.0,0.0139
2019-01-03 12:00:00+00:00,1803.0,0.0058,0.0011,0.0011,0.0,-0.0004,0.0,0.0,0.0621,0.0297,0.0349,0.0,0.0144,0.0588,0.0039,0.1048,0.0836,0.0006,0.0,0.1589,0.0061,0.084,0.0,0.0,0.0327
2019-01-03 15:00:00+00:00,1034.0,0.0517,-0.0,0.0,0.0019,0.0029,0.0,-0.0024,0.0256,0.0251,0.045,0.0087,0.0111,0.0305,0.001,0.0972,0.0774,0.0058,0.0,0.1214,0.0019,0.1074,0.001,0.0,0.0271
2019-01-03 18:00:00+00:00,1648.7,0.1004,0.0127,0.0,0.003,0.0033,0.0,-0.0003,0.02,0.0267,0.0892,0.0073,0.0042,0.0218,0.0073,0.1528,0.0747,-0.0012,-0.0006,0.1219,0.0015,0.1025,0.0,0.0,0.0294
