utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-02 00:00:00+00:00,44.0,18.5,4.0,-0.0455,0.0682,0.0057,0.0,0.0455,0.0,0.0,-0.0114,-0.1591,0.0,0.0455,0.1622,0.0541,0.027,0.0,0.1622,0.0,0.0,0.0,0.0,0.0,0.027,0.0,1.0,0.0,0.0,0.0
2019-01-03 00:00:00+00:00,437.9,247.7,77.0,-0.0868,-0.0285,0.0074,0.0069,0.0754,0.0023,0.0023,0.0188,-0.0023,0.0,0.0363,-0.0828,-0.004,0.001,0.0,0.0323,0.004,0.0,0.0,-0.0404,0.0,0.0129,0.6104,0.0649,0.0779,0.0,0.1688
2019-01-04 00:00:00+00:00,660.9,292.6,114.5,-0.2307,-0.0424,0.0008,0.0121,0.0484,0.0045,0.0144,-0.0193,-0.0378,0.0008,0.0241,-0.0103,-0.0068,0.0026,0.0068,0.1846,0.0,0.0137,0.0,0.0205,0.0034,0.0431,0.7031,0.0175,0.0961,0.0524,0.0611
2019-01-05 00:00:00+00:00,2533.9,295.0,175.5,-0.3609,-0.0099,0.0014,0.0174,0.0701,0.0008,0.0028,-0.0037,-0.0939,-0.0032,0.0465,-0.1576,-0.0136,0.0,0.0373,0.0322,0.0,0.0,0.0034,-0.1017,0.0,0.0237,0.9088,0.057,0.0057,0.0,0.0114
2019-01-06 00:00:00+00:00,175.0,11.0,44.5,-0.2743,0.0229,0.0,0.0571,0.0971,0.0,0.0114,-0.0143,-0.0686,0.0,0.0343,-0.4545,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0909,0.3371,0.4831,0.0,0.0,0.0225
2019-01-07 00:00:00+00:00,49.0,59.0,44.0,-0.2449,0.0612,0.0,0.0,0.0408,0.0,0.0408,0.0408,-0.0816,0.0,0.0,-0.1356,0.0,-0.0085,0.0,0.1356,0.0,0.0,0.0,-0.0678,0.0,0.0,0.5455,0.3182,0.0227,0.0227,0.0682
2019-01-08 00:00:00+00:00,1046.3,206.0,110.5,0.0879,-0.0029,0.0045,0.0,0.0545,0.001,0.0014,0.0062,0.1673,0.001,0.083,-0.4078,-0.0485,0.0024,0.0097,0.0437,0.0,0.0,0.0,-0.0922,-0.0097,0.068,0.7557,0.0995,0.0543,-0.0181,0.0362
2019-01-09 00:00:00+00:00,662.0,364.5,106.5,0.2243,-0.0181,-0.0004,0.0151,0.068,0.0,0.0355,0.0083,0.185,0.0015,0.0355,0.0727,0.0357,0.0,0.0,0.0247,0.0,0.0055,0.0055,0.0082,0.0384,0.0137,0.6714,0.2911,0.0,0.0,0.0282
2019-01-10 00:00:00+00:00,1022.4,287.0,191.5,0.1081,0.0098,0.0101,0.0039,0.022,0.0,0.0122,0.0325,0.1149,0.0039,0.018,-0.0139,-0.0453,0.0,0.0,0.0383,0.0,0.0627,0.0,0.0592,0.0279,0.0035,0.8825,0.0731,0.0,0.0,0.0235
2019-01-11 00:00:00+00:00,1126.4,227.4,216.0,-0.3609,-0.0142,-0.0006,0.0089,0.1043,0.0,0.0124,-0.0135,-0.103,-0.0044,0.0181,0.0308,-0.0528,0.0,0.0,0.0704,0.0,0.0264,0.0132,0.0044,-0.0132,0.0237,0.8519,0.1296,0.0,0.0,0.0046
