utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-02 00:00:00+00:00,52.0,0.0385,0.0385,0.0,0.0,0.0,0.0,0.0192,0.0,0.0192,0.0962,0.0577,0.0,0.0,0.0192,0.2115,0.0577,0.0769,0.0,0.0962,0.0,0.0385,0.0,0.0,0.0
2019-01-03 00:00:00+00:00,654.6,-0.1001,0.0741,0.0153,-0.0,0.0,0.0076,0.0,0.0061,0.0306,0.0443,0.0168,0.0,0.0122,0.026,0.2672,0.0229,0.013,0.0092,-0.0527,-0.0031,0.0269,0.0,0.0,0.0061
2019-01-04 00:00:00+00:00,730.5,-0.0383,0.0021,0.0068,0.0027,-0.0007,0.0,0.0,0.0,0.0438,0.0534,0.0424,0.0014,0.0192,0.0178,0.1823,0.0411,-0.0021,0.0014,0.0123,-0.0,0.0292,0.0,0.0,0.0274
2019-01-05 00:00:00+00:00,461.0,0.0336,0.013,0.0108,0.0195,0.0813,0.0,-0.0195,0.0,0.0195,0.0249,0.0239,0.0065,0.013,0.0152,0.2993,0.0683,0.0022,0.0022,0.0521,0.0043,0.013,0.0,0.0,0.0043
2019-01-06 00:00:00+00:00,56.7,0.1764,0.1764,0.0353,-0.0176,0.0,0.0176,-0.0441,0.0353,0.0,0.0176,0.0,0.0,0.0176,0.0,0.5732,0.0723,-0.0353,0.0,0.1058,0.0176,0.0176,0.0,0.0,0.0176
2019-01-07 00:00:00+00:00,342.0,0.0234,0.0205,0.0146,-0.0058,-0.0055,0.0117,0.0219,-0.0015,0.0146,0.0409,0.0058,0.0058,0.0263,0.0,0.348,0.049,0.0132,0.0,0.0453,0.0219,0.0117,0.0,0.0,0.0409
2019-01-08 00:00:00+00:00,572.4,0.0559,-0.0079,0.0017,0.0035,0.0004,0.0,0.0017,0.0044,0.0192,0.048,0.0157,0.0017,-0.0017,0.0437,0.2212,0.0498,0.0052,0.0,0.1039,-0.0052,0.0129,0.0,0.0,0.0087
2019-01-09 00:00:00+00:00,950.3,0.0695,-0.0268,0.0452,0.0337,0.0061,0.0053,-0.0232,0.0058,0.0084,0.0684,0.0389,-0.0011,-0.0058,0.0105,0.3987,0.0242,-0.0011,0.0011,0.0095,0.0,0.0264,0.0,0.0,-0.0084
2019-01-10 00:00:00+00:00,1077.8,0.1313,-0.0125,0.0028,0.0028,0.0046,0.0009,0.013,0.0005,0.0107,0.0283,0.0139,-0.0,0.0218,0.019,0.201,0.0569,0.0088,0.0009,0.1039,0.0051,0.0199,0.0,0.0,0.0473
2019-01-11 00:00:00+00:00,445.9,-0.0852,-0.0191,0.0045,-0.0045,-0.0011,0.0112,0.009,0.0011,0.028,0.0292,0.0112,0.0,0.0022,0.0135,0.1909,0.0168,0.0034,0.0022,-0.0157,0.009,0.0244,0.0,0.0,0.0034
2019-01-12 00:00:00+00:00,1010.7,0.0376,0.0366,0.0218,0.003,0.0005,0.001,-0.0198,0.0025,0.0069,0.0233,0.0139,0.0079,-0.0188,0.0178,0.1571,0.0873,0.0074,0.003,0.0826,0.0604,0.017,0.0,0.0,0.093
2019-01-13 00:00:00+00:00,120.7,-0.1864,0.0331,0.0704,0.0,0.0,0.0,0.0249,0.0,0.0331,0.1077,0.0663,0.0166,0.0207,0.0414,0.599,0.0207,-0.0041,0.0,0.0539,0.0166,0.0099,0.0,0.0,0.0083
2019-01-14 00:00:00+00:00,245.5,-0.1365,-0.0081,0.0285,0.0102,-0.0092,0.0183,0.0244,0.0122,0.0407,0.0876,0.0448,0.0081,0.0204,0.0122,0.5601,-0.0081,0.0122,0.0,-0.0061,-0.0041,0.0204,0.0,0.0,0.0
2019-01-15 00:00:00+00:00,1833.3,-0.1405,-0.0537,0.0005,0.0,0.001,0.0011,0.0109,0.0046,0.0142,0.0731,0.012,0.0022,0.0188,0.0865,0.3007,-0.0089,-0.0022,0.0005,-0.0363,0.0068,0.025,0.0,0.0,0.0273
2019-01-16 00:00:00+00:00,937.6,0.0016,-0.0176,0.0053,0.0117,0.008,0.0021,-0.0,0.0021,0.0021,0.1035,0.0309,0.0032,0.0171,0.0277,0.345,0.0305,0.0021,0.0011,0.0981,0.0107,0.0128,0.0,0.0,0.0032
2019-01-17 00:00:00+00:00,601.4,-0.0823,-0.0399,0.0,0.0,-0.0056,0.0017,-0.0008,0.0042,0.0407,0.0524,0.015,0.0067,0.005,0.0249,0.2529,0.01,-0.0116,-0.0058,-0.0091,-0.0166,0.0489,0.0,0.0,-0.0033
2019-01-18 00:00:00+00:00,1464.9,-0.2082,-0.0341,0.0007,0.0014,-0.0007,0.0,0.0229,0.0246,0.0218,0.0529,0.013,0.0034,0.0041,0.0256,0.3647,-0.0144,-0.0058,-0.0051,-0.0809,-0.0072,0.0179,0.0,0.0,-0.014
2019-01-19 00:00:00+00:00,354.3,-0.1679,-0.0423,0.0,0.0,0.0014,0.0056,0.0141,0.0028,0.0508,0.0579,0.0,0.0056,0.0028,0.0339,0.2983,-0.0205,-0.031,-0.0056,-0.0522,-0.0254,0.0192,0.0,0.0,-0.0141
2019-01-20 00:00:00+00:00,292.5,-0.159,-0.0239,0.0205,0.0154,-0.0077,0.0188,0.0342,0.0103,0.0735,0.0735,0.1043,0.0068,0.0342,0.0239,0.5111,0.0043,-0.0034,0.0,0.0256,0.0051,0.0274,0.0,0.0,0.0
2019-01-21 00:00:00+00:00,349.7,0.0572,0.0086,0.0315,0.04,-0.0064,0.0086,0.0286,-0.0029,0.0257,0.0829,0.0229,0.0086,0.0229,0.0372,0.6792,0.0071,-0.0229,0.0,-0.0,-0.0057,0.0043,0.0,0.0,-0.0029
2019-01-22 00:00:00+00:00,852.8,-0.1765,-0.034,0.0,-0.0012,0.0021,0.0047,-0.0023,0.0006,0.0358,0.0668,0.027,-0.0012,-0.0035,0.0135,0.1648,0.0129,-0.007,0.0012,-0.0645,-0.0023,0.0428,0.0,0.0,0.0059
2019-01-23 00:00:00+00:00,640.4,-0.0562,-0.0539,0.0016,-0.0016,0.0008,0.0156,-0.0304,0.0125,0.0219,0.0742,0.0141,0.0156,0.0265,0.0047,0.2751,0.0144,0.0,0.0,0.0203,-0.0086,0.027,0.0,0.0,-0.0016
2019-01-24 00:00:00+00:00,1065.2,0.169,0.0042,0.0019,-0.0033,0.0028,0.0028,-0.0188,0.0047,0.0122,0.0291,0.0099,0.0038,0.0146,0.0221,0.1798,0.0631,0.0122,-0.0047,0.1202,0.0,0.0277,0.0,0.0,0.0131
2019-01-25 00:00:00+00:00,390.0,-0.0179,-0.009,0.0026,0.0038,0.0029,0.0,0.0359,0.0026,0.0308,0.0372,0.0551,0.0,0.0077,0.0179,0.3051,0.0365,0.0051,0.0,0.0397,0.0,0.0321,0.0,0.0,-0.0026
2019-01-26 00:00:00+00:00,334.4,-0.0045,0.0329,0.0,-0.003,0.0022,0.0015,-0.0179,0.003,0.0045,0.0733,0.006,-0.003,-0.006,0.0239,0.1863,0.0743,0.009,0.006,0.0718,0.0269,0.0185,0.0,0.0,0.009
