utc_datetime,bid_open,bid_high,bid_low,bid_close
2016-12-26 00:00:00+00:00,1.02632,1.02667,1.02502,1.02603
2016-12-27 00:00:00+00:00,1.02604,1.02761,-0.00018,1.02671
2016-12-28 00:00:00+00:00,1.02671,1.02964,-0.00018,1.02758
2016-12-29 00:00:00+00:00,1.02757,1.03197,-0.00018,1.02823
2016-12-30 00:00:00+00:00,1.02822,1.02826,-0.00018,1.0171
2016-12-31 00:00:00+00:00,1.01712,1.02299,-0.00018,1.01838
2017-01-03 00:00:00+00:00,1.02117,1.02478,1.01962,1.02402
2017-01-04 00:00:00+00:00,1.02404,1.03336,-0.00018,1.02602
2017-01-05 00:00:00+00:00,1.02603,1.02895,-0.00018,1.02012
2017-01-06 00:00:00+00:00,1.02011,1.02194,-0.00018,1.00972
2017-01-07 00:00:00+00:00,1.00971,1.01817,-0.00018,1.01736
2017-01-09 00:00:00+00:00,1.01718,1.01773,1.01627,1.01732
2017-01-10 00:00:00+00:00,1.01732,1.01959,-0.00018,1.01414
2017-01-11 00:00:00+00:00,1.01414,1.01766,-0.00018,1.01672
2017-01-12 00:00:00+00:00,1.01672,1.02465,-0.00018,1.01316
2017-01-13 00:00:00+00:00,1.01317,1.0148,-0.00018,1.01031
2017-01-14 00:00:00+00:00,1.01031,1.01199,-0.00018,1.00909
2017-01-16 00:00:00+00:00,1.01075,1.01106,1.00897,1.00982
2017-01-17 00:00:00+00:00,1.00981,1.01348,-0.00018,1.01106
2017-01-18 00:00:00+00:00,1.01104,1.01147,-0.00018,1.00284
2017-01-19 00:00:00+00:00,1.00284,1.0081,-0.00018,1.00772
2017-01-20 00:00:00+00:00,1.00773,1.01205,-0.00018,1.00628
2017-01-21 00:00:00+00:00,1.00628,1.00922,-0.00018,1.00221
2017-01-23 00:00:00+00:00,1.00165,1.00238,1.00068,1.00106
2017-01-24 00:00:00+00:00,1.00108,1.00171,-0.00018,0.99715
2017-01-25 00:00:00+00:00,0.99716,1.00176,-0.00018,1.00095
2017-01-26 00:00:00+00:00,1.00094,1.00245,-0.00018,0.99894
2017-01-27 00:00:00+00:00,0.99894,1.00246,-0.00018,0.99976
2017-01-28 00:00:00+00:00,0.99976,1.00262,-0.00018,0.99898
2017-01-30 00:00:00+00:00,0.9969,0.99809,0.99616,0.9972
2017-01-31 00:00:00+00:00,0.9972,1.00432,-0.00018,0.99431
2017-02-01 00:00:00+00:00,0.9943,0.99644,-0.00018,0.98897
2017-02-02 00:00:00+00:00,0.98898,0.99564,-0.00018,0.993
2017-02-03 00:00:00+00:00,0.993,0.9953,-0.00018,0.9923
2017-02-04 00:00:00+00:00,0.99229,0.99842,-0.00018,0.99234
2017-02-06 00:00:00+00:00,0.99132,0.99259,0.99076,0.9922
2017-02-07 00:00:00+00:00,0.9922,0.996,-0.00018,0.9912
2017-02-08 00:00:00+00:00,0.99121,1.00052,-0.00018,0.99759
2017-02-09 00:00:00+00:00,0.9976,0.9998,-0.00018,0.99518
2017-02-10 00:00:00+00:00,0.99518,1.00178,-0.00018,1.00137
2017-02-11 00:00:00+00:00,1.00136,1.00607,-0.00018,1.00246
2017-02-13 00:00:00+00:00,1.0029,1.00446,1.0025,1.00441
2017-02-14 00:00:00+00:00,1.00442,1.00676,-0.00018,1.00536
2017-02-15 00:00:00+00:00,1.00536,1.0083,-0.00018,1.00614
2017-02-16 00:00:00+00:00,1.00614,1.01171,-0.00018,1.00474
2017-02-17 00:00:00+00:00,1.00473,1.00501,-0.00018,0.99704
2017-02-18 00:00:00+00:00,0.99704,1.00319,-0.00018,1.00258
2017-02-20 00:00:00+00:00,1.00295,1.00298,1.00102,1.00196
2017-02-21 00:00:00+00:00,1.00197,1.00597,-0.00018,1.0031
2017-02-22 00:00:00+00:00,1.0031,1.01038,-0.00018,1.00908
2017-02-23 00:00:00+00:00,1.00908,1.01392,-0.00018,1.0108
2017-02-24 00:00:00+00:00,1.0108,1.01148,-0.00018,1.00597
2017-02-25 00:00:00+00:00,1.00597,1.00791,-0.00018,1.0078
2017-02-27 00:00:00+00:00,1.00751,1.00879,1.00613,1.00878
