utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2015-01-02 00:00:00+00:00,3574.9,0.0284,0.0081,0.0022,0.0032,0.0026,0.0025,0.0036,0.0053,0.0159,0.0446,0.0408,0.0035,0.0066,0.0176,0.2559,0.0734,0.0004,-0.0006,0.0709,0.0109,0.0295,0.0039,0.0006,-0.0001
2015-01-03 00:00:00+00:00,10989.3,0.1199,-0.0028,0.0013,0.0011,0.005,0.0007,0.0172,0.003,0.0155,0.0376,0.0101,0.0012,0.0065,0.0115,0.1951,0.1029,0.0052,0.0023,0.1429,0.0067,0.0223,0.0,-0.0001,0.0124
2015-01-04 00:00:00+00:00,1793.1,0.029,-0.0421,0.0028,0.0022,0.0032,0.0028,0.0056,0.0047,0.0165,0.0533,0.0081,0.0014,0.0139,0.0103,0.2853,0.054,0.0081,-0.0,0.0856,0.0045,0.0081,0.0,0.0,0.029
2015-01-05 00:00:00+00:00,2959.3,0.0725,0.0226,0.001,0.0003,0.0103,0.0015,-0.0003,0.0057,0.0083,0.0461,0.0095,0.0003,-0.0008,0.0132,0.239,0.0806,0.0083,-0.0014,0.0909,0.0199,0.0251,0.0,-0.0003,0.012
2015-01-06 00:00:00+00:00,18729.0,0.0918,0.0181,0.0011,0.0008,0.0032,0.0018,0.0059,0.01,0.0137,0.0327,0.0088,0.0006,-0.0056,0.0134,0.2502,0.0731,0.0042,0.0027,0.0735,0.0078,0.0248,0.0003,0.0,0.0147
2015-01-07 00:00:00+00:00,12609.0,0.0245,0.0077,0.0034,0.0026,0.0079,0.002,0.003,0.0092,0.0127,0.0437,0.0089,0.0047,0.0108,0.0154,0.2755,0.0486,0.0028,-0.0004,0.0335,0.0053,0.0232,0.0002,0.0002,0.0098
2015-01-08 00:00:00+00:00,13229.8,0.095,0.0172,0.002,0.002,0.007,0.0011,-0.0019,0.007,0.0147,0.0245,0.0124,0.0013,0.0029,0.01,0.2452,0.0682,-0.0018,-0.0002,0.0806,0.0017,0.023,0.0001,0.0,0.0109
2015-01-09 00:00:00+00:00,14264.7,0.099,0.0217,0.0042,0.0028,0.0044,0.0007,-0.0003,0.0034,0.0143,0.0354,0.0169,0.0018,0.0053,0.0178,0.1817,0.0848,0.0039,0.0002,0.118,0.0104,0.0222,0.0,0.0001,0.0202
2015-01-10 00:00:00+00:00,15040.0,0.0191,0.0116,0.0029,0.0015,0.0073,0.0005,-0.0095,0.0038,0.0207,0.0293,0.0091,0.0063,0.0056,0.0108,0.2485,0.0571,-0.0034,-0.0001,0.0293,0.0046,0.0236,0.0001,-0.0001,0.0131
2015-01-11 00:00:00+00:00,2436.4,-0.0222,0.0039,0.0053,0.0016,0.0051,0.0016,0.0113,0.009,0.023,0.062,0.0509,0.0037,0.0051,0.0142,0.3545,0.0308,0.001,-0.0002,0.0332,0.006,0.0151,0.0,0.0,0.0088
2015-01-12 00:00:00+00:00,3626.1,-0.0651,0.0109,0.0022,0.0008,0.0066,0.0017,0.0036,0.0006,0.0292,0.0379,0.0218,0.0134,0.0154,0.0156,0.2473,0.047,-0.0012,0.0,0.0007,-0.0011,0.0229,0.0,0.0,0.0026
2015-01-13 00:00:00+00:00,16012.0,0.0464,0.021,0.0023,0.0028,0.0111,0.0015,-0.0052,0.002,0.0225,0.0325,0.0066,0.0104,0.0152,0.0114,0.2526,0.0482,-0.0015,-0.0007,0.0318,0.008,0.0252,0.0001,0.0,0.0022
2015-01-14 00:00:00+00:00,13779.0,0.0008,0.0164,0.0021,0.0008,0.0042,0.0034,0.0025,0.0095,0.016,0.0451,0.0161,0.002,0.0036,0.0203,0.202,0.0478,-0.0006,-0.0007,0.0462,0.0035,0.03,0.0003,0.0,0.0125
2015-01-15 00:00:00+00:00,11759.4,-0.0173,-0.0025,0.004,0.0032,0.0029,0.0025,0.0018,0.0023,0.0294,0.0382,0.0111,0.0033,0.0075,0.0108,0.2602,0.0347,0.0022,0.0014,-0.0057,0.0034,0.0269,0.0003,0.0001,0.0073
2015-01-16 00:00:00+00:00,13487.2,0.0042,0.0096,0.0008,0.0011,0.0078,0.0002,0.0003,0.0059,0.0186,0.0322,0.0214,0.0069,0.0075,0.0149,0.2054,0.0597,0.0012,-0.0004,0.0304,0.0068,0.0403,0.0004,0.0008,0.0082
2015-01-17 00:00:00+00:00,11975.1,0.0166,-0.0038,0.0022,0.0016,0.0066,0.0022,-0.0031,0.0042,0.0104,0.0443,0.0098,0.0103,0.0157,0.0294,0.2189,0.0613,0.0015,0.0006,0.0657,0.0025,0.0315,0.0,-0.0001,0.004
2015-01-18 00:00:00+00:00,2249.7,-0.0282,-0.038,0.0007,0.0004,-0.0008,0.0004,0.0016,0.0067,0.0258,0.0449,0.0409,0.0071,0.0209,0.0156,0.2585,0.0354,-0.0022,0.0004,0.074,0.0024,0.0267,0.0,0.0009,0.0053
2015-01-19 00:00:00+00:00,2374.7,0.0227,0.0223,0.0013,0.0048,0.0057,0.0015,0.0046,0.0046,0.027,0.0579,0.008,0.0046,-0.0008,0.0168,0.3115,0.0383,0.0059,0.0029,0.031,0.0055,0.0275,0.0004,0.0034,0.0067
2015-01-20 00:00:00+00:00,6517.7,-0.0068,0.0091,0.0011,0.0012,0.0021,0.0007,0.007,0.0112,0.024,0.0437,0.0225,0.0051,0.0108,0.015,0.1944,0.0419,-0.0086,0.0006,0.0325,0.0087,0.0424,0.0002,0.0002,0.0104
2015-01-21 00:00:00+00:00,10896.9,0.0396,0.0093,0.001,0.002,0.0078,0.0035,0.0114,0.0051,0.0194,0.0407,0.0267,0.0034,0.0064,0.0138,0.2273,0.0684,0.0079,0.0006,0.0821,0.0041,0.031,0.0,0.001,0.0121
2015-01-22 00:00:00+00:00,12954.0,0.0026,0.0223,0.0005,0.005,0.0031,0.0005,0.0072,0.0044,0.0182,0.0323,0.0166,0.0098,0.011,0.0143,0.2183,0.0548,0.0017,0.001,0.0308,0.0055,0.03,0.0001,0.0006,0.0161
2015-01-23 00:00:00+00:00,15000.1,0.0479,0.0077,0.0014,0.0018,0.0047,0.0009,0.0071,0.0048,0.0135,0.0393,0.0136,0.0059,0.0089,0.0106,0.2655,0.0519,0.0014,0.0011,0.045,0.0013,0.0355,0.0006,0.0002,0.0128
2015-01-24 00:00:00+00:00,13995.7,0.085,0.0209,0.0036,0.0028,0.0051,0.0032,0.009,0.0108,0.0199,0.0371,0.017,0.0026,0.0101,0.0105,0.2812,0.0618,-0.0025,0.0001,0.0597,0.0077,0.0236,0.0,-0.0001,0.01
2015-01-25 00:00:00+00:00,2317.2,-0.0339,0.017,0.0035,0.0043,0.0007,0.006,0.0065,0.0037,0.0177,0.0548,0.0138,0.0168,0.0175,0.0153,0.2652,0.0311,-0.0015,0.0017,0.0395,0.003,0.0445,0.0013,-0.0006,0.0047
2015-01-26 00:00:00+00:00,2268.5,0.0007,0.0084,0.0026,0.0033,0.0035,0.0024,0.0148,0.0055,0.0218,0.054,0.0179,0.004,0.0071,0.0172,0.289,0.0473,-0.004,-0.0004,0.0253,0.0048,0.0321,0.0,0.0004,0.0134
2015-01-27 00:00:00+00:00,12608.9,0.0172,0.0093,0.0007,0.0004,-0.0003,0.0013,-0.0007,0.0064,0.0176,0.0452,0.0176,0.0024,0.0067,0.0117,0.3179,0.046,0.0,-0.0002,0.0261,0.0031,0.0244,0.0002,0.0002,0.012
2015-01-28 00:00:00+00:00,29003.6,-0.0023,0.0042,0.001,0.0006,0.0004,0.002,0.0176,0.0052,0.0189,0.0454,0.0202,0.0024,0.0016,0.0093,0.3633,0.0388,-0.0003,0.0003,0.0131,0.0062,0.0142,0.0,0.0004,0.0035
2015-01-29 00:00:00+00:00,28280.4,-0.0122,0.0113,0.0017,0.0016,0.0006,0.0024,0.0115,0.0098,0.0176,0.0453,0.0136,0.0036,0.0059,0.0149,0.3433,0.0438,0.0013,-0.0001,0.0247,0.0072,0.0154,0.0,0.0001,0.0039
