utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-01 06:00:00+00:00,546.0,0.0119,-0.033,0.0055,0.0073,0.0009,0.0,0.0,0.0037,0.0055,0.0385,0.0165,0.0,-0.0009,0.0055,0.1126,0.0536,-0.0321,-0.0009,0.0586,-0.0256,0.0192,0.0,0.0,0.0064
2019-01-01 12:00:00+00:00,441.9,0.0192,-0.0079,0.0,0.0023,0.0028,0.0,-0.0068,0.0158,0.0362,0.0475,0.0317,-0.0023,-0.017,0.0113,0.2401,0.0617,-0.0136,-0.0023,0.0781,0.0091,0.0009,0.0,0.0,0.0158
2019-01-01 18:00:00+00:00,290.0,0.1483,0.0103,0.0,0.0,0.006,0.0,0.0034,0.0138,0.0069,0.0345,0.0276,0.0,-0.0034,0.0138,0.0207,0.1034,-0.0655,0.0,0.2,0.0138,0.0034,0.0,0.0,0.0138
2019-01-02 00:00:00+00:00,297.0,-0.0253,-0.0101,0.0118,-0.0034,0.0008,0.0034,-0.0084,0.0,0.0337,0.0387,0.0337,0.0,0.0101,0.0135,0.303,0.0488,-0.0017,-0.0017,0.0152,-0.0067,0.0067,0.0,0.0,0.0051
2019-01-02 06:00:00+00:00,1839.1,-0.143,-0.0035,0.0005,0.0003,0.0016,0.0016,-0.0076,0.0141,0.0133,0.0807,0.0092,0.0005,-0.0046,0.013,0.1924,0.0417,-0.0073,-0.0003,0.006,0.0022,0.0226,0.0,0.0,0.0019
2019-01-02 12:00:00+00:00,2488.7,-0.1953,-0.0251,0.0008,-0.0,-0.0001,0.002,0.0042,0.011,0.0293,0.0665,0.008,0.0036,0.0084,0.0193,0.2531,0.0072,-0.0046,-0.0008,-0.0665,-0.0104,0.043,0.0,0.0,-0.0052
2019-01-02 18:00:00+00:00,2177.7,-0.0397,0.0007,0.0005,0.0,0.0036,0.0041,0.0055,0.0158,0.0218,0.0836,0.0044,0.0014,0.003,0.0048,0.2601,0.0484,0.0023,0.0,0.0296,0.0011,0.0305,0.0,-0.0005,0.0071
2019-01-03 00:00:00+00:00,2459.2,-0.0262,-0.0344,0.002,-0.0,0.0064,0.0041,0.0004,0.0085,0.0165,0.0427,0.0065,0.0037,0.0004,0.0065,0.2956,0.0279,-0.0024,-0.0012,-0.0026,-0.0167,0.0277,0.0,0.0,-0.0039
2019-01-03 06:00:00+00:00,2067.4,-0.0772,-0.0145,0.0022,0.0012,0.003,0.0058,-0.0031,0.0082,0.0353,0.0271,0.0073,0.0019,0.0073,0.0051,0.2852,0.0215,-0.0063,-0.0015,-0.0278,-0.0046,0.0319,0.0,0.0,-0.0015
2019-01-03 12:00:00+00:00,2783.4,-0.1277,-0.0041,0.0,0.0,0.0039,0.0004,0.0061,0.0144,0.0381,0.042,0.0054,0.004,0.0111,0.0101,0.2696,0.0252,-0.0032,0.0004,-0.048,-0.0018,0.0416,0.0,0.0,0.011
2019-01-03 18:00:00+00:00,4016.2,-0.1262,-0.0105,0.0016,0.0,-0.0008,0.0002,0.0049,0.01,0.0244,0.0393,0.0139,0.0022,0.0081,0.0112,0.2238,0.0331,0.0042,0.0015,-0.033,-0.0017,0.0424,0.0,0.0005,-0.0011
2019-01-04 00:00:00+00:00,2183.7,-0.109,-0.0147,0.0018,0.0023,0.0027,0.0,0.0037,0.0037,0.027,0.0579,0.0174,0.0,0.006,0.014,0.2499,0.0204,-0.0062,-0.0002,-0.03,-0.0076,0.0271,0.0005,0.0018,0.0037
2019-01-04 06:00:00+00:00,2292.6,-0.0827,0.002,0.0004,0.0022,0.0001,0.0015,0.0004,0.0096,0.0157,0.0414,0.007,0.0017,0.0159,0.0109,0.2119,0.0409,-0.0017,0.0004,-0.017,-0.0033,0.043,0.0004,0.0,-0.0164
2019-01-04 12:00:00+00:00,2958.6,-0.0929,-0.0206,0.0051,0.0012,-0.0011,0.0002,0.0108,0.0046,0.0286,0.0554,0.01,0.0035,0.0042,0.022,0.3182,0.0144,-0.0002,0.0,0.0005,-0.0057,0.0455,0.0,0.0007,0.0008
2019-01-04 18:00:00+00:00,4413.4,-0.0383,0.0216,0.0068,0.0002,0.0018,0.002,-0.0101,0.0118,0.0285,0.04,0.0103,0.0063,0.0074,0.0109,0.2672,0.051,-0.0014,0.0007,0.0339,0.0085,0.0383,0.0,0.0,0.0104
2019-01-05 00:00:00+00:00,1807.4,-0.1231,-0.003,0.0006,0.0022,-0.0026,0.0006,-0.0041,0.0028,0.0177,0.0509,0.0177,0.0019,0.0003,0.0086,0.3165,0.0336,0.0044,0.0,0.0232,-0.0011,0.0226,0.0,0.0,0.0097
2019-01-05 06:00:00+00:00,491.3,-0.0041,-0.0214,0.0,0.0081,0.0064,0.0,0.0071,0.0183,0.0387,0.0438,0.0092,0.0102,0.0265,0.0204,0.3601,0.0465,0.0041,0.0,0.0621,-0.0102,0.0134,0.0,0.0,0.0092
2019-01-05 12:00:00+00:00,366.6,0.0355,-0.0041,0.0027,0.0041,-0.0003,0.0055,0.0055,0.0109,0.0136,0.0477,0.045,0.0,0.0014,0.0273,0.2286,0.0517,0.0041,-0.0041,0.0927,-0.0068,0.0346,0.0,0.0,0.015
2019-01-05 18:00:00+00:00,426.7,-0.0316,-0.0012,0.0094,0.0094,0.0023,0.0,0.0176,0.0,0.0187,0.0457,0.0539,0.0023,-0.0035,0.0094,0.2531,0.0231,-0.0,0.0023,0.0012,-0.0164,0.0352,0.0,0.0,0.0
2019-01-06 00:00:00+00:00,534.5,-0.0776,-0.0065,0.0056,0.0037,0.0051,0.0019,0.0037,0.015,0.0112,0.0524,0.015,0.0,-0.0,0.0243,0.3671,-0.0374,0.0262,0.0056,-0.073,0.0,0.0155,0.0,0.0037,-0.0907
2019-01-06 06:00:00+00:00,301.0,-0.0282,-0.0166,0.0033,-0.0033,0.0021,0.0033,-0.0249,0.0,0.0066,0.0365,0.0299,0.0033,0.01,0.0266,0.1246,-0.0432,-0.0033,0.0,-0.01,-0.0033,0.0199,0.0,0.0,-0.0266
2019-01-06 12:00:00+00:00,648.5,0.0193,-0.0008,0.0015,-0.0008,0.0027,0.0131,-0.0093,0.0,0.0208,0.0362,0.0108,0.0062,-0.0023,0.0262,0.3092,0.0212,0.0093,0.0046,-0.0039,-0.0054,0.0262,0.0,0.0,0.0
2019-01-06 18:00:00+00:00,862.2,0.007,0.0093,0.0046,0.0012,0.0212,0.0012,-0.0017,0.0139,0.0325,0.0522,0.0035,0.0,-0.0029,0.0232,0.2215,0.0494,-0.0075,-0.0,0.0157,0.0128,0.0267,0.0,-0.0012,0.0023
2019-01-07 00:00:00+00:00,1138.6,-0.0593,0.0048,0.0061,0.0018,-0.003,0.0044,0.0321,0.0013,0.0184,0.0711,0.0145,0.0026,-0.0242,0.0242,0.3691,0.0226,0.0044,0.0035,0.0378,-0.0119,0.0292,0.0,0.0,0.0184
2019-01-07 06:00:00+00:00,2205.7,-0.0243,-0.0258,0.0045,0.0045,0.0145,0.0018,-0.01,0.0045,0.0206,0.0424,0.0095,0.0029,-0.0109,0.0197,0.2568,0.0359,-0.0084,-0.0009,0.005,-0.0052,0.0249,0.0,0.0,0.0077
2019-01-07 12:00:00+00:00,3673.4,-0.1108,-0.0155,0.003,-0.0003,0.0009,0.0067,0.0133,0.0052,0.0387,0.0527,0.0218,0.0019,-0.0041,0.0199,0.3042,0.0115,-0.0003,0.0019,-0.0191,-0.008,0.0295,0.0003,0.0,0.0019
2019-01-07 18:00:00+00:00,4090.7,-0.0786,-0.029,0.0032,-0.0002,0.0024,0.0049,0.0048,0.0012,0.0218,0.0457,0.0169,0.0045,-0.0072,0.0252,0.2372,0.0271,0.0024,0.0007,-0.0161,-0.0022,0.0281,0.0,0.0,0.0034
2019-01-08 00:00:00+00:00,2792.4,-0.087,-0.0102,0.0032,0.0004,0.0035,0.0029,0.0068,0.0018,0.0238,0.0569,0.014,0.0032,-0.0057,0.0136,0.2255,0.0251,-0.0039,-0.0007,-0.002,-0.0005,0.0255,0.0,0.0,0.0156
2019-01-08 06:00:00+00:00,4134.3,-0.008,-0.0134,0.0024,-0.0,0.0025,0.001,0.0053,0.0086,0.0192,0.0577,0.0081,0.0029,0.0007,0.0109,0.2543,0.0379,0.0008,0.0001,0.0252,0.0022,0.0284,0.0,-0.0002,-0.0006
2019-01-08 12:00:00+00:00,4013.6,-0.0441,-0.001,0.0035,0.0005,0.0054,0.0014,0.0047,0.0105,0.0252,0.0578,0.0168,0.0037,-0.0062,0.0101,0.2445,0.0444,-0.0059,-0.0007,0.0376,0.0011,0.0324,0.0,0.0,-0.0002
2019-01-08 18:00:00+00:00,3972.0,-0.0676,-0.0076,0.0073,0.001,0.0022,0.0008,0.0003,0.0058,0.0204,0.0716,0.0135,0.0026,-0.0107,0.017,0.2626,0.0385,-0.001,0.0,0.035,-0.0004,0.0388,0.0,0.0,0.0039
2019-01-09 00:00:00+00:00,2542.6,-0.045,-0.0031,0.0059,0.0037,-0.0007,0.0,0.0104,0.0053,0.0281,0.0804,0.01,0.0047,-0.0028,0.0181,0.3356,0.028,-0.0028,-0.002,0.0334,0.0008,0.0262,0.0,0.0,0.0049
2019-01-09 06:00:00+00:00,1897.9,-0.0087,0.0016,0.0024,0.0005,-0.0011,0.0037,0.009,0.0037,0.0134,0.0377,0.0108,0.0042,-0.0216,0.0321,0.2701,0.0495,0.0024,0.0008,0.0609,0.0195,0.0352,0.0,0.0,0.0129
2019-01-09 12:00:00+00:00,3224.2,-0.0113,-0.0141,0.0043,0.0003,-0.0013,0.0028,0.0068,0.004,0.0226,0.0479,0.0088,0.0037,0.0082,0.0147,0.258,0.023,-0.0017,-0.0002,0.0101,0.0023,0.038,0.0006,0.0,-0.0025
2019-01-09 18:00:00+00:00,3096.3,-0.0258,-0.022,0.0052,0.0013,0.0018,0.0006,0.0011,0.0061,0.0239,0.0418,0.0268,0.0015,-0.0126,0.0202,0.1816,0.025,-0.0021,0.0003,-0.0061,0.0006,0.0322,0.0003,0.0,0.0078
2019-01-10 00:00:00+00:00,2492.6,-0.0853,-0.0168,0.0036,0.0032,0.0021,0.0002,0.009,0.0092,0.0295,0.0508,0.0064,0.0016,-0.0016,0.0195,0.231,0.0299,0.008,0.001,-0.0136,0.0026,0.0414,0.0,-0.0004,-0.0006
2019-01-10 06:00:00+00:00,3762.8,-0.0279,0.0024,0.0104,0.0021,-0.0017,0.0013,-0.0025,0.0106,0.0149,0.0702,0.0097,0.0021,-0.0025,0.0162,0.2765,0.0377,0.0008,0.0003,0.0049,0.0004,0.0345,0.0,0.0,0.005
2019-01-10 12:00:00+00:00,4305.0,-0.0757,0.0044,0.007,0.0029,0.0024,0.0014,-0.0024,0.0109,0.0239,0.0617,0.0094,0.0013,-0.0115,0.0157,0.2754,0.0333,-0.0031,-0.0003,-0.011,-0.0019,0.0245,0.0,0.0,-0.0017
2019-01-10 18:00:00+00:00,3837.0,-0.091,-0.0154,0.0021,0.0025,0.0026,0.0014,0.0022,0.0029,0.0315,0.0622,0.0109,0.0018,-0.01,0.0159,0.268,0.043,0.0012,0.0005,0.025,0.0059,0.0283,0.0,-0.0001,0.0022
2019-01-11 00:00:00+00:00,2559.1,-0.0612,-0.0361,0.0016,0.0008,-0.0027,0.0025,0.007,0.0018,0.0246,0.042,0.0121,0.0043,-0.0021,0.0106,0.1778,0.0596,-0.0055,-0.0072,0.0447,-0.0027,0.0266,0.0004,0.0,-0.0027
2019-01-11 06:00:00+00:00,2730.8,0.0068,0.0048,0.0048,0.0015,0.0031,0.0026,-0.0104,0.0112,0.0146,0.0408,0.0125,0.0007,-0.0103,0.0159,0.2178,0.0602,-0.0095,-0.0018,0.0531,0.0073,0.021,0.0,-0.0004,0.0212
2019-01-11 12:00:00+00:00,3789.2,-0.015,-0.0088,0.0018,0.0008,-0.0005,0.0042,0.008,0.0021,0.0153,0.0385,0.0375,0.0003,-0.0099,0.0137,0.1616,0.0382,-0.0069,-0.0003,0.0253,0.0001,0.0301,0.0,0.0,0.0257
2019-01-11 18:00:00+00:00,3149.5,-0.0933,-0.0084,0.001,0.0019,0.0038,0.0005,-0.0043,0.0054,0.0281,0.0383,0.007,0.0006,-0.0024,0.0167,0.2433,0.0425,0.0111,0.0006,0.0127,-0.0048,0.0304,0.0,0.0006,-0.0038
2019-01-12 00:00:00+00:00,1772.6,-0.0099,-0.0175,0.0006,0.0023,0.0047,0.0006,-0.0045,0.0152,0.0302,0.0573,0.0104,0.0017,0.0008,0.0155,0.2022,0.0577,0.0133,-0.0011,0.0883,-0.0011,0.0269,0.0,-0.0,0.0178
2019-01-12 06:00:00+00:00,659.5,0.0819,0.0235,0.0061,0.0061,0.0076,0.0015,-0.0008,0.003,0.0205,0.0303,0.0235,0.0106,0.019,0.0099,0.1891,0.08,0.0053,0.0015,0.1024,0.0091,0.0111,0.0,0.0,0.0318
2019-01-12 12:00:00+00:00,663.7,-0.0588,-0.0241,0.0151,0.0121,0.0008,0.0075,-0.0008,0.0015,0.0497,0.0738,0.0211,0.0045,0.0,0.009,0.3349,0.0305,0.0015,0.0,0.0362,0.0045,0.0124,0.0,0.0,0.0166
2019-01-12 18:00:00+00:00,511.4,-0.1584,-0.0411,0.0,0.0,-0.0024,0.0039,0.0313,0.0,0.0411,0.0831,0.0215,0.0088,0.0049,0.0117,0.3864,0.0122,0.0078,0.002,-0.0039,0.002,0.0242,0.0,0.0,0.0059
2019-01-13 00:00:00+00:00,418.6,-0.1039,0.0108,0.006,-0.0,0.0102,0.0096,0.0012,0.0024,0.0275,0.0573,0.0227,0.0072,0.0227,0.0072,0.3521,0.0406,0.0024,-0.0024,-0.0299,0.0012,0.0265,0.0,0.0,0.0024
2019-01-13 06:00:00+00:00,366.5,0.0859,0.03,0.0164,0.0136,0.0055,0.0,-0.0136,0.0,0.0232,0.0805,0.0409,0.0,-0.0082,0.0205,0.3806,0.0607,0.0082,0.0,0.0314,-0.0027,0.0491,0.0,0.0,0.0109
2019-01-13 12:00:00+00:00,629.3,-0.1033,-0.0652,0.0016,0.0032,0.0026,0.004,0.0103,0.0016,0.0493,0.0659,0.0286,0.0064,0.0079,0.0238,0.2109,0.0191,-0.0159,0.0016,0.0119,0.0016,0.0307,0.0,0.0,0.0032
2019-01-13 18:00:00+00:00,1033.2,-0.046,-0.0116,0.0058,0.0068,-0.0052,0.0029,0.0106,0.0024,0.0174,0.0673,0.03,0.0077,0.0232,0.016,0.2723,0.0455,-0.0131,0.0019,0.0348,0.001,0.0229,0.0,0.001,-0.0039
2019-01-14 00:00:00+00:00,768.1,-0.0072,-0.0137,0.0117,0.0039,-0.0007,0.0033,-0.0013,0.0078,0.0234,0.0762,0.0325,0.0039,0.0234,0.0215,0.1928,0.0439,-0.026,0.0007,0.0586,-0.0039,0.0298,0.0,0.0,0.026
2019-01-14 06:00:00+00:00,1938.9,-0.0474,-0.0168,0.0064,0.0005,0.0033,0.0018,-0.0188,0.0057,0.0204,0.0511,0.0113,0.0036,0.0005,0.0178,0.1955,0.0449,-0.0003,-0.0005,0.0199,0.0054,0.033,0.0,0.0005,0.0157
2019-01-14 12:00:00+00:00,2176.9,-0.0783,-0.0062,0.0053,-0.0011,0.0063,0.0018,-0.009,0.0014,0.0264,0.057,0.0096,0.0018,0.0152,0.0211,0.2628,0.0366,0.0064,0.0005,-0.0064,-0.0007,0.0328,0.0,0.0,0.0181
2019-01-14 18:00:00+00:00,2550.8,-0.1031,-0.0204,0.0004,0.0027,0.002,0.0012,0.0014,0.0069,0.0276,0.0496,0.0147,0.0039,-0.0016,0.0184,0.2402,0.0251,0.0027,-0.0012,-0.0218,-0.0008,0.0268,0.0,0.0,0.0
