utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-02 00:00:00+00:00,7723.900000000001,1242.5,959.0,-0.0908,-0.0076,0.0021,0.0115,0.0724,0.007,0.0119,0.0041,0.0301,0.0136,0.0406,-0.2584,-0.0338,0.0006,0.0076,0.0785,0.0016,0.0258,0.0089,-0.0177,0.0016,0.0262,0.5652,0.3326,0.0182,0.0078,-0.0068
2019-01-03 00:00:00+00:00,21022.7,5333.9,1771.0,-0.1957,-0.0219,0.0025,0.0141,0.0629,0.0029,0.0168,-0.0133,-0.0238,-0.0017,0.0436,-0.1117,-0.0059,0.0007,0.0161,0.0681,0.0037,0.0351,0.007,-0.0011,-0.0009,0.0418,0.7261,0.0562,0.0195,0.0099,0.004
2019-01-04 00:00:00+00:00,23211.1,6735.2,2149.5,-0.1638,0.0029,0.0021,0.0079,0.0505,0.0033,0.0107,0.0092,-0.0475,0.0142,0.0423,-0.0969,-0.0144,0.0012,0.0101,0.0522,0.0057,0.0119,0.005,-0.0194,0.0016,0.0381,0.7516,0.0875,0.0063,0.0007,0.01
2019-01-05 00:00:00+00:00,25534.2,6580.0,7481.0,0.0189,0.0076,0.0102,0.0103,0.0507,0.0025,0.0159,0.0152,0.0387,0.0092,0.0442,-0.2078,-0.0183,0.0035,0.0109,0.0602,0.0027,0.0156,0.0096,-0.0303,0.0003,0.046,0.8024,0.0391,-0.0072,-0.0051,-0.0001
2019-01-06 00:00:00+00:00,5671.0,1141.5,1369.0,0.2361,0.0026,0.0047,0.0028,0.0398,0.0024,0.0076,0.0475,0.1096,0.0421,0.0393,-0.2427,-0.0512,0.0003,0.0162,0.1078,0.0044,0.0158,0.0114,-0.0201,0.0,0.0279,0.6129,0.1848,-0.0033,0.0018,-0.0026
2019-01-07 00:00:00+00:00,3460.9,1117.5,1174.0,0.0246,-0.0217,0.0109,0.0105,0.0624,0.0045,0.0131,0.0025,0.0329,0.003,0.0369,-0.1928,-0.0273,-0.0023,0.0072,0.0832,0.0027,0.0174,0.0228,0.0027,-0.0009,0.03,0.733,0.112,-0.0498,0.0017,0.0021
2019-01-08 00:00:00+00:00,22304.5,5244.6,6332.5,0.1306,0.0111,0.0144,0.0084,0.0523,0.0029,0.0197,0.0044,0.0532,0.0011,0.0467,-0.0825,-0.0096,0.0032,0.0141,0.0702,-0.0004,0.0161,0.015,0.0199,0.0001,0.0257,0.649,0.0947,-0.1005,0.0047,-0.0024
2019-01-09 00:00:00+00:00,17882.3,6261.2,5106.0,0.1593,0.0254,0.0033,0.0082,0.0441,0.003,0.0222,0.0319,0.1061,0.0192,0.0335,-0.1216,-0.0166,0.0011,0.0101,0.0835,0.0012,0.0178,0.0308,0.0055,-0.0016,0.0188,0.5214,0.2494,-0.0047,0.0045,0.0025
2019-01-10 00:00:00+00:00,17125.5,6962.1,6759.5,0.1318,0.0104,0.0045,0.009,0.0536,0.0028,0.0283,0.0209,0.0912,0.0103,0.0306,-0.1455,-0.044,0.0044,0.0096,0.0837,0.0009,0.0116,0.0164,0.0232,0.0003,0.0356,0.7241,0.0827,-0.0192,-0.0018,-0.0097
2019-01-11 00:00:00+00:00,16126.7,6054.3,8310.0,0.0423,-0.0055,0.0063,0.0154,0.0514,0.0038,0.0214,0.0087,0.0347,0.0095,0.0255,-0.2001,-0.0433,0.0015,0.0205,0.0694,0.0089,0.0136,0.0239,0.004,-0.0041,0.0306,0.7147,0.0962,-0.0398,0.007,-0.0049
2019-01-12 00:00:00+00:00,17499.8,5720.9,7040.5,0.0067,-0.0037,0.005,0.012,0.0467,0.0019,0.0209,0.0018,0.0062,0.0057,0.0264,-0.1406,-0.0344,-0.0012,0.0142,0.0645,0.0014,0.0143,0.0148,0.0211,-0.0051,0.0244,0.7289,0.0855,-0.0555,-0.0036,0.0188
2019-01-13 00:00:00+00:00,3444.8,1458.1,1143.5,0.0959,-0.0055,0.0038,0.0075,0.0613,0.0026,0.011,0.0214,0.0592,0.0199,0.036,-0.1166,0.0045,-0.0029,0.0062,0.0816,0.0034,0.0357,0.0391,0.0093,0.0021,0.0285,0.6231,0.2256,-0.0485,-0.0184,0.0066
2019-01-14 00:00:00+00:00,2959.3,1733.8,1224.0,-0.0177,0.009,0.0019,0.0128,0.0537,0.0032,0.0174,0.003,0.0096,0.0054,0.0302,-0.1938,-0.028,-0.0033,0.0147,0.0972,0.0023,0.034,0.0133,0.0017,-0.0029,0.0368,0.4338,0.3889,-0.0167,-0.0135,-0.0086
