utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-01 06:00:00+00:00,3101.0,341.2,154.5,0.0335,0.0111,0.0024,0.0037,0.064,0.0026,0.0045,0.0351,0.0787,0.0326,0.0286,-0.2784,0.0,0.0051,0.0029,0.063,0.0,0.0176,0.0117,-0.0293,0.0,0.0108,0.8123,0.0583,0.0259,0.0324,-0.0
2019-01-01 12:00:00+00:00,1572.0,378.4,267.0,-0.1756,-0.0134,0.0005,0.0184,0.0872,0.0095,0.0156,-0.0158,0.0003,0.0019,0.0504,-0.3171,-0.0396,-0.0013,0.0053,0.0832,0.0,0.0251,0.0053,-0.0264,0.0,0.0381,0.5262,0.3633,0.0281,0.0056,0.0187
2019-01-01 18:00:00+00:00,1558.8,284.5,320.0,-0.1925,-0.0205,0.0015,0.018,0.077,0.0096,0.0154,-0.0213,-0.0074,-0.0013,0.0482,-0.1406,-0.0633,0.0009,0.0211,0.0949,0.0035,0.0264,0.0,0.0,0.007,0.0457,0.45,0.4563,0.0094,0.0,-0.0406
2019-01-02 00:00:00+00:00,1492.1,238.4,217.5,-0.1538,-0.0271,0.0038,0.0137,0.0697,0.0107,0.0198,-0.0129,-0.0003,0.002,0.047,-0.2768,-0.0378,-0.0031,0.0021,0.0734,0.0042,0.0378,0.021,-0.0084,0.0,0.0059,0.6069,0.308,0.0138,0.0046,0.0069
2019-01-02 06:00:00+00:00,2012.0,889.2,378.0,-0.132,0.0221,0.0037,0.0134,0.0865,0.005,0.0517,0.0082,0.0097,-0.0007,0.0326,-0.2345,0.0574,0.0042,0.0056,0.0309,0.0067,0.0124,0.0056,-0.0011,-0.0022,0.0126,0.7857,0.041,-0.0013,0.0013,-0.0053
2019-01-02 12:00:00+00:00,1730.9,665.0,260.5,-0.2403,-0.0208,0.0029,0.0214,0.0598,0.002,0.0121,-0.005,-0.0248,-0.0098,0.0377,-0.2083,0.0015,-0.0013,0.0165,0.0707,0.003,0.0346,0.0105,-0.012,0.0,0.0421,0.7965,-0.0058,0.048,0.0461,0.0
2019-01-02 18:00:00+00:00,8313.2,1920.2,573.5,-0.2907,-0.0397,0.0014,0.0161,0.0603,0.0025,0.0149,-0.0296,-0.0661,-0.003,0.0498,-0.1422,-0.037,-0.0036,0.0167,0.094,0.0016,0.0586,0.0078,-0.0078,-0.0016,0.061,0.6914,0.0767,0.0087,-0.0009,0.0314
2019-01-03 00:00:00+00:00,8966.6,1859.5,559.0,-0.1133,-0.0156,0.0032,0.0109,0.0606,0.003,0.0117,-0.0046,0.0081,0.0008,0.0416,0.0129,-0.0067,0.0042,0.0204,0.0583,0.0048,0.0218,0.0056,0.0097,0.0,0.0358,0.6887,0.0742,0.0313,0.0098,-0.0161
2019-01-03 06:00:00+00:00,5598.2,1324.9,326.0,0.1414,0.0137,0.0018,0.0073,0.0504,0.0032,0.0062,0.0417,0.0885,0.0464,0.0262,-0.157,0.0004,-0.0006,0.0166,0.0555,0.0015,0.0094,0.0045,-0.0974,-0.0011,0.0256,0.7638,0.0552,-0.0307,0.0077,0.0307
2019-01-03 12:00:00+00:00,2993.7,555.4,234.5,-0.1446,0.0037,0.0059,0.0115,0.0772,0.0033,0.0224,0.0015,-0.0306,0.0047,0.0435,-0.162,0.0072,-0.0063,0.0018,0.0774,0.0,0.0126,0.0054,-0.018,0.0036,0.0223,0.7335,0.1087,0.0213,0.0107,-0.0085
2019-01-03 18:00:00+00:00,7949.4,2411.7,758.5,-0.2236,0.0097,0.0017,0.0062,0.0465,0.0033,0.0134,0.0028,-0.0885,0.0073,0.0532,0.0108,-0.0255,0.0003,0.0133,0.044,0.0087,0.0137,0.0025,-0.0185,0.0021,0.0386,0.7429,0.0956,0.0171,-0.0,0.0099
