utc_datetime,bid_open,bid_high,bid_low,bid_close
2016-12-26 00:00:00+00:00,8.3645,8.368,8.313,8.342
2016-12-27 00:00:00+00:00,8.342,8.391,8.308,8.347
2016-12-28 00:00:00+00:00,8.347,8.433,-0.016,8.418
2016-12-29 00:00:00+00:00,8.4185,8.488,-0.016,8.429
2016-12-30 00:00:00+00:00,8.431,8.558,-0.016,8.54
2016-12-31 00:00:00+00:00,8.538,8.5885,-0.016,8.4835
2017-01-03 00:00:00+00:00,8.553,8.5595,8.521,8.5395
2017-01-04 00:00:00+00:00,8.54,8.594,-0.016,8.5065
2017-01-05 00:00:00+00:00,8.507,8.6315,-0.016,8.589
2017-01-06 00:00:00+00:00,8.589,8.589,-0.016,8.472
2017-01-07 00:00:00+00:00,8.4725,8.532,-0.016,8.4985
2017-01-09 00:00:00+00:00,8.5245,8.5275,8.491,8.4995
2017-01-10 00:00:00+00:00,8.5005,8.5715,-0.016,8.476
2017-01-11 00:00:00+00:00,8.476,8.5045,-0.016,8.416
2017-01-12 00:00:00+00:00,8.416,8.4975,-0.016,8.3665
2017-01-13 00:00:00+00:00,8.367,8.5085,-0.016,8.4555
2017-01-14 00:00:00+00:00,8.456,8.539,-0.016,8.4545
2017-01-16 00:00:00+00:00,8.416,8.4545,8.402,8.4225
2017-01-17 00:00:00+00:00,8.422,8.44,-0.016,8.33
2017-01-18 00:00:00+00:00,8.3305,8.414,-0.016,8.37
2017-01-19 00:00:00+00:00,8.3695,8.4085,-0.016,8.3995
2017-01-20 00:00:00+00:00,8.399,8.476,-0.016,8.4615
2017-01-21 00:00:00+00:00,8.461,8.4945,-0.016,8.409
2017-01-23 00:00:00+00:00,8.368,8.393,8.3375,8.3415
2017-01-24 00:00:00+00:00,8.341,8.4185,-0.016,8.359
2017-01-25 00:00:00+00:00,8.3595,8.5175,-0.016,8.4935
2017-01-26 00:00:00+00:00,8.493,8.5705,-0.016,8.536
2017-01-27 00:00:00+00:00,8.5355,8.598,-0.016,8.5545
2017-01-28 00:00:00+00:00,8.5545,8.6155,-0.016,8.5335
2017-01-30 00:00:00+00:00,8.4705,8.5095,8.469,8.4915
2017-01-31 00:00:00+00:00,8.4915,8.5035,-0.016,8.386
2017-02-01 00:00:00+00:00,8.386,8.4325,-0.016,8.356
2017-02-02 00:00:00+00:00,8.3565,8.4735,-0.016,8.3985
2017-02-03 00:00:00+00:00,8.398,8.4565,-0.016,8.4085
2017-02-04 00:00:00+00:00,8.408,8.504,-0.016,8.4675
2017-02-06 00:00:00+00:00,8.456,8.488,8.455,8.475
2017-02-07 00:00:00+00:00,8.475,8.4795,-0.016,8.384
2017-02-08 00:00:00+00:00,8.3835,8.397,-0.016,8.347
2017-02-09 00:00:00+00:00,8.347,8.359,-0.016,8.3255
2017-02-10 00:00:00+00:00,8.3255,8.4555,-0.016,8.436
2017-02-11 00:00:00+00:00,8.4365,8.5225,-0.016,8.46
2017-02-13 00:00:00+00:00,8.4965,8.5185,8.4805,8.502
2017-02-14 00:00:00+00:00,8.5015,8.546,-0.016,8.5175
2017-02-15 00:00:00+00:00,8.5175,8.7195,-0.016,8.7125
2017-02-16 00:00:00+00:00,8.7115,8.835,-0.016,8.819
2017-02-17 00:00:00+00:00,8.8195,8.822,-0.016,8.687
2017-02-18 00:00:00+00:00,8.6875,8.724,-0.016,8.618
2017-02-20 00:00:00+00:00,8.6075,8.6435,8.6,8.619
2017-02-21 00:00:00+00:00,8.6175,8.6725,-0.016,8.6605
2017-02-22 00:00:00+00:00,8.66,8.6875,-0.016,8.626
2017-02-23 00:00:00+00:00,8.6255,8.727,-0.016,8.707
2017-02-24 00:00:00+00:00,8.7065,8.7975,-0.016,8.739
2017-02-25 00:00:00+00:00,8.7385,8.752,-0.016,8.638
2017-02-27 00:00:00+00:00,8.657,8.681,8.6465,8.655
2017-02-28 00:00:00+00:00,8.6545,8.7035,-0.016,8.6525
2017-03-01 00:00:00+00:00,8.6525,8.667,-0.016,8.5925
2017-03-02 00:00:00+00:00,8.5915,8.752,-0.016,8.7455
2017-03-03 00:00:00+00:00,8.745,8.7625,-0.016,8.675
2017-03-04 00:00:00+00:00,8.6745,8.753,-0.016,8.727
2017-03-06 00:00:00+00:00,8.7415,8.761,8.7275,8.7295
2017-03-07 00:00:00+00:00,8.7295,8.775,-0.016,8.734
2017-03-08 00:00:00+00:00,8.734,8.802,-0.016,8.7655
2017-03-09 00:00:00+00:00,8.765,8.771,-0.016,8.69
2017-03-10 00:00:00+00:00,8.691,8.704,-0.016,8.6265
2017-03-11 00:00:00+00:00,8.627,8.7525,-0.016,8.6975
2017-03-13 00:00:00+00:00,8.6795,8.6955,8.6665,8.6765
2017-03-14 00:00:00+00:00,8.676,8.748,-0.016,8.737
2017-03-15 00:00:00+00:00,8.737,8.747,-0.016,8.699
