utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-02 00:00:00+00:00,113.0,-0.2212,-0.0885,0.0177,0.0,0.0,0.0,0.0354,0.0,0.0088,0.1416,0.0177,0.0531,0.0354,0.0265,0.5664,-0.0354,0.0,0.0,-0.0088,0.0088,0.0708,0.0,0.0,0.0
2019-01-03 00:00:00+00:00,307.0,-0.2182,0.0065,0.013,-0.0065,0.0,0.0358,-0.0065,0.013,0.0195,0.0717,0.013,0.0,0.0195,0.013,0.443,0.0163,0.0,0.0,-0.0228,-0.0033,0.0326,0.0,0.0,0.0033
2019-01-04 00:00:00+00:00,923.0,-0.3527,-0.0087,0.0,0.0,0.0005,0.0033,0.0011,0.0477,0.0596,0.1176,0.0011,0.0043,0.0043,0.0022,0.4496,-0.0233,0.0022,0.0,-0.0704,0.0,0.0553,0.0,0.0,-0.0033
2019-01-05 00:00:00+00:00,744.8000000000001,-0.0644,-0.0269,0.0027,0.0,-0.0,0.0013,-0.004,0.0201,0.0322,0.0564,0.0013,0.0,0.0027,0.0013,0.4041,0.0522,-0.0013,0.0,0.0698,-0.0013,0.0228,0.0,0.0,0.0121
2019-01-06 00:00:00+00:00,335.7,-0.1162,-0.0089,0.0,0.0,-0.0,0.0,0.0179,0.0209,0.0804,0.0506,0.1102,0.0,0.0,0.0179,0.3038,0.0524,0.0,0.0,0.076,0.0477,0.0268,0.0,0.0,0.0238
2019-01-07 00:00:00+00:00,293.0,-0.0222,-0.0068,0.0034,0.0137,-0.0051,0.0,0.0307,0.0034,0.0205,0.0444,0.0546,0.0034,0.0171,0.0068,0.4744,0.058,0.0,0.0,0.0392,0.0205,0.0375,0.0,0.0,0.0017
2019-01-08 00:00:00+00:00,590.9,0.2234,0.0076,0.0,0.0,0.0338,0.0,0.0102,0.0051,0.0068,0.0152,0.0034,0.0017,-0.0271,0.0034,0.2691,0.1103,0.0,0.0,0.1726,0.0042,0.0195,0.0,0.0,0.0068
2019-01-09 00:00:00+00:00,669.5,-0.0291,-0.009,0.0164,0.003,0.0239,0.0,-0.006,0.0015,0.0344,0.0553,0.0164,0.0119,0.0142,0.0254,0.286,0.0202,0.0,0.0,0.0015,0.003,0.0672,0.0,0.0,-0.006
2019-01-10 00:00:00+00:00,718.0,0.0613,0.0056,0.039,0.0056,0.0091,0.0,-0.0251,0.0014,0.0139,0.0501,0.0209,0.0028,-0.0021,0.0313,0.3663,0.032,0.0056,0.0,0.0641,-0.0028,0.0543,0.0,0.0,0.0097
2019-01-11 00:00:00+00:00,340.0,0.0515,-0.0103,0.0176,0.0,0.0088,0.0029,-0.0382,0.0176,0.0265,0.0441,0.0118,0.0059,-0.0279,0.0324,0.3676,0.0103,0.0059,0.0,0.05,-0.0059,0.0559,0.0,0.0,0.0265
2019-01-12 00:00:00+00:00,417.6,0.2095,0.0443,0.0072,0.0,-0.0012,0.0024,-0.0072,0.0024,0.0263,0.018,0.012,0.0,-0.0096,0.0096,0.2428,0.1551,0.0024,0.0,0.182,-0.0024,0.0158,0.0,0.0,-0.0024
2019-01-13 00:00:00+00:00,169.5,-0.2596,-0.0177,0.0,0.0,-0.0015,0.0,0.0295,0.0,0.0295,0.1445,0.0236,0.0,0.0295,0.0,0.2655,0.059,0.0354,0.0059,0.0826,0.0,0.0354,0.0,0.0,0.0
2019-01-14 00:00:00+00:00,34.0,-0.0294,-0.0441,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,-0.0294,0.0,0.0588,0.0882,0.0,-0.2059,0.0368,-0.0,0.0,0.0882,-0.0588,0.0882,0.0,0.0,0.0
