utc_datetime,dji,dxy,ftxin25,hyg,n225,ndx,spvixstr,spx,topx,vix
2020-06-02 00:00:00+00:00,25475.02,97.874,17759.95,82.72,22062.39,9598.887,57.81,3055.73,1568.75,28.23
2020-06-03 00:00:00+00:00,25742.65,97.572,17797.79,83.54,22325.61,9657.307,55.76,3080.82,1587.68,26.84
2020-06-04 00:00:00+00:00,26269.89,97.325,18058.23,83.93,22613.76,9704.688,53.66,3122.87,1599.08,25.66
2020-06-05 00:00:00+00:00,26281.82,96.754,18105.39,83.67,22695.74,9629.664,53.06,3112.35,1603.82,25.81
2020-06-06 00:00:00+00:00,27110.98,96.954,18247.44,84.46,22863.73,9824.39,50.23,3193.93,1612.48,24.52
2020-06-07 00:00:00+00:00,,,,,,,,,,
2020-06-08 00:00:00+00:00,,96.735,,,,,,,,
2020-06-09 00:00:00+00:00,27572.44,96.625,18138.78,84.56,23178.1,9901.521,51.62,3232.39,1630.72,25.81
2020-06-10 00:00:00+00:00,27272.3,96.455,18266.06,83.9,23091.03,9967.174,54.7,3207.18,1628.43,27.57
2020-06-11 00:00:00+00:00,26989.99,96.158,18396.09,83.78,23124.95,10094.256,53.87,3190.14,1624.71,27.57
2020-06-12 00:00:00+00:00,25128.17,96.844,18083.15,81.63,22472.91,9588.479,74.84,3002.1,1588.92,40.79
2020-06-13 00:00:00+00:00,25605.54,97.089,17890.66,82.44,22305.48,9663.775,65.52,3041.31,1570.68,36.09
2020-06-14 00:00:00+00:00,,,,,,,,,,
2020-06-15 00:00:00+00:00,,97.173,,,,,,,,
2020-06-16 00:00:00+00:00,25763.16,96.543,17534.36,83.24,21530.95,9776.891,64.03,3066.59,1530.78,34.4
2020-06-17 00:00:00+00:00,26289.98,96.995,18016.05,83.58,22582.21,9949.366,63.15,3124.74,1593.45,33.67
2020-06-18 00:00:00+00:00,26119.61,97.076,18045.05,83.19,22455.76,9982.479,63.15,3113.49,1587.09,33.47
2020-06-19 00:00:00+00:00,26080.1,97.438,18054.08,83.16,22355.46,10012.053,63.07,3115.34,1583.09,32.94
2020-06-20 00:00:00+00:00,25871.46,97.663,18199.72,82.88,22478.79,10008.644,66.21,3097.74,1582.8,35.12
2020-06-21 00:00:00+00:00,,,,,,10008.644,,,,
2020-06-22 00:00:00+00:00,,97.685,,,,,,,,
2020-06-23 00:00:00+00:00,26024.96,96.899,17997.46,82.82,22437.27,10130.33,59.48,3117.86,1579.09,31.77
2020-06-24 00:00:00+00:00,26156.1,96.636,18259.06,82.94,22549.05,10209.817,60.03,3131.29,1587.14,31.37
2020-06-25 00:00:00+00:00,25445.94,97.246,18223.36,82.09,22534.32,10002.697,63.1,3050.33,1580.5,33.84
2020-06-26 00:00:00+00:00,25745.6,97.383,,82.12,22259.79,10101.834,60.58,3083.76,1561.85,32.22
2020-06-27 00:00:00+00:00,25015.55,97.499,17986.32,81.34,22512.08,9849.356,64.89,3009.05,1577.37,34.73
2020-06-28 00:00:00+00:00,,,,,,9849.356,,,,
2020-06-29 00:00:00+00:00,,97.483,,,,,,,,
2020-06-30 00:00:00+00:00,25595.8,97.422,17767.6,80.88,21995.04,9961.163,61.1,3053.24,1549.22,31.78
2020-07-01 00:00:00+00:00,25812.88,97.393,17748.04,81.62,22288.14,10156.852,58.69,3100.29,1558.77,30.43
2020-07-02 00:00:00+00:00,25734.97,97.161,,81.53,22121.73,10279.248,56.76,3115.86,1538.61,28.62
2020-07-03 00:00:00+00:00,25827.36,97.235,18338.11,82.13,22145.96,10341.892,55.36,3130.01,1542.76,27.68
2020-07-04 00:00:00+00:00,,97.152,18824.35,,22306.48,10341.892,,,1552.33,
2020-07-05 00:00:00+00:00,,,,,,,,,,
2020-07-06 00:00:00+00:00,,97.175,,,,,,,,
2020-07-07 00:00:00+00:00,26287.03,96.748,19693.82,82.72,22714.44,10604.058,55.64,3179.72,1577.15,27.94
2020-07-08 00:00:00+00:00,25890.18,96.974,19369.1,82.17,22614.69,10524.011,57.71,3145.32,1571.71,29.43
2020-07-09 00:00:00+00:00,26067.28,96.452,19822.06,82.39,22438.65,10666.701,56.13,3169.94,1557.23,28.08
2020-07-10 00:00:00+00:00,25706.09,96.772,20054.62,82.21,22529.29,10754.592,57.55,3152.05,1557.24,29.26
2020-07-11 00:00:00+00:00,26075.3,96.656,19568.87,82.49,22290.81,10836.333,55.53,3185.04,1535.2,27.29
2020-07-12 00:00:00+00:00,,,,,,10836.333,,,,
2020-07-13 00:00:00+00:00,,96.606,,,,,,,,
2020-07-14 00:00:00+00:00,26085.8,96.552,19511.11,82.04,22784.74,10602.208,60.68,3155.22,1573.02,32.19
2020-07-15 00:00:00+00:00,26642.59,96.152,19099.99,82.74,22587.01,10689.52,57.29,3197.52,1565.15,29.52
2020-07-16 00:00:00+00:00,26870.1,96.005,19101.0,83.21,22945.5,10701.679,55.47,3226.56,1589.51,27.76
2020-07-17 00:00:00+00:00,26734.71,96.274,18495.01,83.29,22770.36,10626.46,55.25,3215.57,1579.06,28.0
2020-07-18 00:00:00+00:00,26671.95,96.013,18625.31,83.52,22696.42,10645.22,52.77,3224.73,1573.85,25.68
2020-07-19 00:00:00+00:00,,,,,,,,,,
2020-07-20 00:00:00+00:00,,95.929,,,,,,,,
2020-07-21 00:00:00+00:00,26680.87,95.736,18794.56,84.02,22717.48,10952.076,50.07,3251.84,1577.03,24.46
2020-07-22 00:00:00+00:00,26840.4,95.135,19259.28,84.41,22884.22,10833.074,50.6,3257.3,1582.74,24.84
2020-07-23 00:00:00+00:00,27005.84,95.013,18788.61,84.58,22751.61,10870.754,49.55,3276.02,1572.96,24.32
2020-07-24 00:00:00+00:00,26652.33,94.794,18936.41,84.52,,10580.591,52.28,3235.66,,26.08
2020-07-25 00:00:00+00:00,26469.89,94.345,18408.19,84.6,,10483.132,52.25,3215.63,,25.84
2020-07-26 00:00:00+00:00,,,,,,,,,,
2020-07-27 00:00:00+00:00,,94.363,,,,,,,,
2020-07-28 00:00:00+00:00,26584.77,93.538,18296.79,84.8,22715.85,10674.375,50.25,3239.41,1576.69,24.74
2020-07-29 00:00:00+00:00,26379.28,93.76,18477.19,84.58,22657.38,10532.502,50.23,3218.44,1569.12,25.44
2020-07-30 00:00:00+00:00,26539.57,93.355,18542.03,85.05,22397.11,10662.983,49.05,3258.44,1549.04,24.1
2020-07-31 00:00:00+00:00,26313.65,92.795,18405.43,85.23,22339.23,10715.507,49.73,3246.22,1539.47,24.76
2020-08-01 00:00:00+00:00,26428.32,93.455,18296.64,85.39,21710.0,10905.881,49.21,3271.12,1496.06,24.46
2020-08-02 00:00:00+00:00,,,,,,10905.881,,,,
2020-08-03 00:00:00+00:00,,93.409,,,,,,,,
2020-08-04 00:00:00+00:00,26664.4,93.542,18383.66,85.07,22195.38,11055.076,48.98,3294.61,1522.64,24.28
2020-08-05 00:00:00+00:00,26828.47,93.151,18890.13,85.04,22573.66,11096.539,47.36,3306.51,1555.26,23.76
2020-08-06 00:00:00+00:00,27201.52,92.778,18950.11,85.19,22514.85,11125.439,46.58,3327.77,1554.71,22.99
2020-08-07 00:00:00+00:00,27386.98,92.816,18947.62,85.38,22418.15,11267.085,46.03,3349.16,1549.88,22.65
2020-08-08 00:00:00+00:00,27433.48,93.391,18683.57,85.17,22329.94,11139.387,45.81,3351.28,1546.74,22.21
2020-08-09 00:00:00+00:00,,,,,,11139.387,,,,
2020-08-10 00:00:00+00:00,,93.427,,,,,,,,
2020-08-11 00:00:00+00:00,27791.44,93.622,18575.65,85.21,,11085.168,44.54,3360.47,,22.13
2020-08-12 00:00:00+00:00,27686.91,93.689,18773.53,84.44,22750.24,10876.08,46.23,3333.69,1585.96,24.03
2020-08-13 00:00:00+00:00,27976.84,93.366,18819.09,84.46,22843.96,11157.722,44.07,3380.35,1605.53,22.28
2020-08-14 00:00:00+00:00,27896.72,93.246,18862.8,84.23,23249.61,11178.37,44.01,3373.43,1624.15,22.13
2020-08-15 00:00:00+00:00,27931.02,93.095,19011.86,84.08,23289.36,11164.447,44.15,3372.85,1623.38,22.05
2020-08-16 00:00:00+00:00,,,,,,11164.447,,,,
2020-08-17 00:00:00+00:00,,93.012,,,,,,,,
2020-08-18 00:00:00+00:00,27844.91,92.817,19209.27,84.58,23096.75,11288.57,42.18,3381.99,1609.82,21.35
2020-08-19 00:00:00+00:00,27778.07,92.202,19505.01,84.71,23051.08,11399.033,41.63,3389.78,1610.85,21.51
2020-08-20 00:00:00+00:00,27692.88,92.993,19360.12,84.47,23110.61,11318.644,42.86,3374.85,1613.73,22.54
2020-08-21 00:00:00+00:00,27739.73,92.684,19190.07,84.75,22880.62,11477.049,42.31,3385.51,1599.2,22.72
2020-08-22 00:00:00+00:00,27930.33,93.201,19387.61,84.74,22920.3,11555.164,42.44,3397.16,1604.06,22.54
2020-08-23 00:00:00+00:00,,,,,,,,,,
2020-08-24 00:00:00+00:00,,93.199,,,,,,,,
2020-08-25 00:00:00+00:00,28308.46,93.277,19809.9,85.13,22985.51,11626.173,42.31,3431.28,1607.13,22.37
2020-08-26 00:00:00+00:00,28248.44,93.01,19637.13,85.22,23296.77,11721.805,41.83,3443.62,1625.23,22.03
2020-08-27 00:00:00+00:00,28331.92,92.827,19694.1,85.21,23290.86,11971.941,42.9,3478.73,1624.48,23.27
2020-08-28 00:00:00+00:00,28492.27,93.024,19770.17,85.08,23208.86,11926.162,44.39,3484.55,1615.89,24.47
2020-08-29 00:00:00+00:00,28653.87,92.301,19706.26,85.15,22882.65,11995.855,44.52,3508.01,1604.87,22.96
2020-08-30 00:00:00+00:00,,,,,,11995.855,,,,
2020-08-31 00:00:00+00:00,,92.23,,,,,,,,
